direction,advance_deg,repeat,baseline_duty,pulse_duty,baseline_advance_deg,baseline_ms,pulse_ms,sample_hz,sample_count,missed_count,mct_fault_delta,faults,baseline_rpm,rpm_50ms,rpm_100ms,rpm_150ms,accel_20_120_rpm_s,accel_40_160_rpm_s,ripple_120_220,monotonic_fraction,valid,note
1,30,0,100,200,90,700,300,500,150,0,0,0,1480.4140127388534,24.0,54.0,11.0,-4857.194570135746,-54.336329984135375,0.6647193442324028,0.5570469798657718,False,angle_not_monotonic
1,30,1,100,200,90,700,300,500,150,0,0,0,2362.0700636942674,94.0,8.0,10.0,-8589.321266968327,-1661.263881544156,0.9069183171498886,0.5838926174496645,False,angle_not_monotonic
1,30,2,100,200,90,700,300,500,0,0,0,0,0.0,0.0,0.0,0.0,nan,nan,inf,0.0,False,TimeoutError
1,50,0,100,200,90,700,300,500,150,0,0,0,1517.0063694267517,2196.0,2648.0,2342.0,-2966.877828054299,703.8603913273399,0.17633936577821546,1.0,True,
1,50,1,100,200,90,700,300,500,150,0,0,0,1778.8853503184714,1785.0,1979.0,1950.0,-3627.3303167420827,-731.7556848228451,0.15815753237900612,1.0,True,
1,50,2,100,200,90,700,300,500,150,0,0,0,2407.834394904459,1570.0,2988.0,3258.0,820.9502262443439,975.5156002115281,0.17298363416789633,1.0,True,
1,70,0,100,200,90,700,300,500,150,0,0,0,2613.8216560509554,3929.0,4100.0,4278.0,3822.126696832578,1099.709148598625,0.10060231536941781,1.0,True,
1,70,1,100,200,90,700,300,500,0,0,0,0,0.0,0.0,0.0,0.0,nan,nan,inf,0.0,False,TimeoutError
1,70,2,100,200,90,700,300,500,150,0,0,0,1595.7324840764331,4541.0,3809.0,4086.0,537.6923076923075,-573.7440507667903,0.0946950820020278,1.0,True,
1,90,0,100,200,90,700,300,500,150,0,0,0,1767.8980891719746,5661.0,4787.0,5453.0,5247.828054298643,543.1782125859335,0.06451415588057423,1.0,True,
1,90,1,100,200,90,700,300,500,0,0,0,0,0.0,0.0,0.0,0.0,nan,nan,inf,0.0,False,TimeoutError
1,90,2,100,200,90,700,300,500,150,0,0,0,2059.0127388535034,4944.0,5298.0,5191.0,4550.995475113121,63.82866208355413,0.06860726419981918,1.0,True,
1,110,0,100,200,90,700,300,500,150,0,0,0,2102.0063694267515,6741.0,5794.0,5802.0,5734.615384615382,130.80380750925445,0.05753094834289019,1.0,True,
