direction,advance_deg,repeat,t_ms,angle_turn16,position_turns,rpm,speed_rpm
1,30,0,0.000,29158,0.000000,5533,5533
1,30,0,1.000,30484,0.020233,1213,1213
1,30,0,2.000,31952,0.042633,1343,1343
1,30,0,3.000,34032,0.074371,1904,1904
1,30,0,4.000,35382,0.094971,1235,1235
1,30,0,5.000,36424,0.110870,953,953
1,30,0,6.000,37504,0.127350,988,988
1,30,0,7.000,38897,0.148605,1275,1275
1,30,0,8.000,40476,0.172699,1445,1445
1,30,0,9.000,41697,0.191330,1117,1117
1,30,0,10.000,42808,0.208282,1017,1017
1,30,0,11.000,44148,0.228729,1226,1226
1,30,0,12.000,45537,0.249924,1271,1271
1,30,0,13.000,46919,0.271011,1265,1265
1,30,0,14.000,48222,0.290894,1192,1192
1,30,0,15.000,49474,0.309998,1146,1146
1,30,0,16.000,51093,0.334702,1482,1482
1,30,0,17.000,52173,0.351181,988,988
1,30,0,18.000,53133,0.365829,878,878
1,30,0,19.000,54350,0.384399,1114,1114
1,30,0,20.000,56461,0.416611,1932,1932
1,30,0,21.000,57351,0.430191,814,814
1,30,0,22.000,58463,0.447159,1018,1018
1,30,0,23.000,59432,0.461945,887,887
1,30,0,24.000,60400,0.476715,886,886
1,30,0,25.000,62042,0.501770,1503,1503
1,30,0,26.000,63089,0.517746,958,958
1,30,0,27.000,64039,0.532242,869,869
1,30,0,28.000,64961,0.546310,844,844
1,30,0,29.000,404,0.561249,896,896
1,30,0,30.000,1492,0.577850,996,996
1,30,0,31.000,2445,0.592392,872,872
1,30,0,32.000,3290,0.605286,773,773
1,30,0,33.000,3951,0.615372,605,605
1,30,0,34.000,4926,0.630249,892,892
1,30,0,35.000,5830,0.644043,827,827
1,30,0,36.000,6866,0.659851,948,948
1,30,0,37.000,7532,0.670013,609,609
1,30,0,38.000,8164,0.679657,578,578
1,30,0,39.000,8819,0.689651,599,599
1,30,0,40.000,9582,0.701294,698,698
1,30,0,41.000,10541,0.715927,877,877
1,30,0,42.000,11277,0.727158,673,673
1,30,0,43.000,12409,0.744431,1036,1036
1,30,0,44.000,13126,0.755371,656,656
1,30,0,45.000,13783,0.765396,601,601
1,30,0,46.000,14387,0.774612,552,552
1,30,0,47.000,14972,0.783539,535,535
1,30,0,48.000,15617,0.793381,590,590
1,30,0,49.000,16434,0.805847,747,747
1,30,0,50.000,17317,0.819321,808,808
1,30,0,51.000,18096,0.831207,713,713
1,30,0,52.000,18442,0.836487,316,316
1,30,0,53.000,18980,0.844696,492,492
1,30,0,54.000,19500,0.852631,476,476
1,30,0,55.000,19875,0.858353,343,343
1,30,0,56.000,20118,0.862061,222,222
1,30,0,57.000,20672,0.870514,507,507
1,30,0,58.000,21349,0.880844,619,619
1,30,0,59.000,21958,0.890137,557,557
1,30,0,60.000,22475,0.898026,473,473
1,30,0,61.000,23175,0.908707,640,640
1,30,0,62.000,23649,0.915939,433,433
1,30,0,63.000,24280,0.925568,577,577
1,30,0,64.000,24695,0.931900,379,379
1,30,0,65.000,25095,0.938004,366,366
1,30,0,66.000,25397,0.942612,276,276
1,30,0,67.000,25460,0.943573,57,57
1,30,0,68.000,25479,0.943863,17,17
1,30,0,69.000,25418,0.942932,-55,55
1,30,0,70.000,25450,0.943420,29,29
1,30,0,71.000,25405,0.942734,-41,41
1,30,0,72.000,25418,0.942932,11,11
1,30,0,73.000,25440,0.943268,20,20
1,30,0,74.000,25490,0.944031,45,45
1,30,0,75.000,25684,0.946991,177,177
1,30,0,76.000,26143,0.953995,420,420
1,30,0,77.000,26624,0.961334,440,440
1,30,0,78.000,27061,0.968002,400,400
1,30,0,79.000,27305,0.971725,223,223
1,30,0,80.000,27506,0.974792,184,184
1,30,0,81.000,27930,0.981262,388,388
1,30,0,82.000,28406,0.988525,435,435
1,30,0,83.000,28916,0.996307,466,466
1,30,0,84.000,29103,0.999161,171,171
1,30,0,85.000,29184,1.000397,74,74
1,30,0,86.000,29457,1.004562,249,249
1,30,0,87.000,29887,1.011124,393,393
1,30,0,88.000,30163,1.015335,252,252
1,30,0,89.000,30452,1.019745,264,264
1,30,0,90.000,30659,1.022903,189,189
1,30,0,91.000,30752,1.024323,85,85
1,30,0,92.000,30712,1.023712,-36,36
1,30,0,93.000,30736,1.024078,21,21
1,30,0,94.000,30763,1.024490,24,24
1,30,0,95.000,30800,1.025055,33,33
1,30,0,96.000,30721,1.023849,-72,72
1,30,0,97.000,30717,1.023788,-3,3
1,30,0,98.000,30774,1.024658,52,52
1,30,0,99.000,30729,1.023972,-41,41
1,30,0,100.000,30749,1.024277,18,18
1,30,0,101.000,30741,1.024155,-7,7
1,30,0,102.000,30760,1.024445,17,17
1,30,0,103.000,30757,1.024399,-2,2
1,30,0,104.000,30740,1.024139,-15,15
1,30,0,105.000,30760,1.024445,18,18
1,30,0,106.000,30769,1.024582,8,8
1,30,0,107.000,30779,1.024734,9,9
1,30,0,108.000,30782,1.024780,2,2
1,30,0,109.000,30731,1.024002,-46,46
1,30,0,110.000,30723,1.023880,-7,7
1,30,0,111.000,30724,1.023895,0,0
1,30,0,112.000,30773,1.024643,44,44
1,30,0,113.000,30732,1.024017,-37,37
1,30,0,114.000,30770,1.024597,34,34
1,30,0,115.000,30763,1.024490,-6,6
1,30,0,116.000,30728,1.023956,-32,32
1,30,0,117.000,30740,1.024139,10,10
1,30,0,118.000,30767,1.024551,24,24
1,30,0,119.000,30723,1.023880,-40,40
1,30,0,120.000,30759,1.024429,32,32
1,30,0,121.000,30750,1.024292,-8,8
