direction,advance_deg,observer_lead_us,repeat,t_ms,angle_turn16,position_turns,rpm,speed_rpm
1,30,0,0,0.000,12160,0.000000,7966,7966
1,30,0,0,1.000,14129,0.030045,1802,1802
1,30,0,0,2.000,15829,0.055984,1556,1556
1,30,0,0,3.000,18260,0.093079,2225,2225
1,30,0,0,4.000,20040,0.120239,1629,1629
1,30,0,0,5.000,21854,0.147919,1660,1660
1,30,0,0,6.000,23288,0.169800,1312,1312
1,30,0,0,7.000,24992,0.195801,1560,1560
1,30,0,0,8.000,26628,0.220764,1497,1497
1,30,0,0,9.000,27962,0.241119,1221,1221
1,30,0,0,10.000,29285,0.261307,1211,1211
1,30,0,0,11.000,30288,0.276611,918,918
1,30,0,0,12.000,31248,0.291260,878,878
1,30,0,0,13.000,32439,0.309433,1090,1090
1,30,0,0,14.000,33954,0.332550,1387,1387
1,30,0,0,15.000,35061,0.349442,1013,1013
1,30,0,0,16.000,35891,0.362106,759,759
1,30,0,0,17.000,36867,0.376999,893,893
1,30,0,0,18.000,37956,0.393616,997,997
1,30,0,0,19.000,39565,0.418167,1473,1473
1,30,0,0,20.000,40834,0.437531,1161,1161
1,30,0,0,21.000,42177,0.458023,1229,1229
1,30,0,0,22.000,43500,0.478210,1211,1211
1,30,0,0,23.000,45073,0.502213,1440,1440
1,30,0,0,24.000,46519,0.524277,1323,1323
1,30,0,0,25.000,47972,0.546448,1330,1330
1,30,0,0,26.000,49092,0.563538,1025,1025
1,30,0,0,27.000,50919,0.591415,1672,1672
1,30,0,0,28.000,52019,0.608200,1007,1007
1,30,0,0,29.000,53182,0.625946,1064,1064
1,30,0,0,30.000,54741,0.649734,1427,1427
1,30,0,0,31.000,56618,0.678375,1718,1718
1,30,0,0,32.000,57655,0.694199,949,949
1,30,0,0,33.000,58907,0.713303,1146,1146
1,30,0,0,34.000,59914,0.728668,921,921
1,30,0,0,35.000,61951,0.759750,1864,1864
1,30,0,0,36.000,63221,0.779129,1162,1162
1,30,0,0,37.000,64497,0.798599,1168,1168
1,30,0,0,38.000,60,0.815369,1006,1006
1,30,0,0,39.000,1460,0.836731,1281,1281
1,30,0,0,40.000,2698,0.855621,1133,1133
1,30,0,0,41.000,3770,0.871979,981,981
1,30,0,0,42.000,5241,0.894424,1346,1346
1,30,0,0,43.000,6954,0.920563,1568,1568
1,30,0,0,44.000,7831,0.933945,802,802
1,30,0,0,45.000,8717,0.947464,811,811
1,30,0,0,46.000,10059,0.967941,1228,1228
1,30,0,0,47.000,11549,0.990677,1364,1364
1,30,0,0,48.000,12985,1.012589,1314,1314
1,30,0,0,49.000,13959,1.027451,891,891
1,30,0,0,50.000,14734,1.039276,709,709
1,30,0,0,51.000,15738,1.054596,919,919
1,30,0,0,52.000,17059,1.074753,1209,1209
1,30,0,0,53.000,18344,1.094360,1176,1176
1,30,0,0,54.000,19217,1.107681,799,799
1,30,0,0,55.000,20141,1.121780,845,845
1,30,0,0,56.000,20964,1.134338,753,753
1,30,0,0,57.000,22043,1.150803,987,987
1,30,0,0,58.000,22821,1.162674,712,712
1,30,0,0,59.000,23651,1.175339,759,759
1,30,0,0,60.000,24452,1.187561,733,733
1,30,0,0,61.000,25124,1.197815,615,615
1,30,0,0,62.000,25621,1.205399,455,455
1,30,0,0,63.000,26302,1.215790,623,623
1,30,0,0,64.000,26951,1.225693,594,594
1,30,0,0,65.000,27477,1.233719,481,481
1,30,0,0,66.000,28370,1.247345,817,817
1,30,0,0,67.000,29102,1.258514,670,670
1,30,0,0,68.000,29573,1.265701,431,431
1,30,0,0,69.000,30218,1.275543,590,590
1,30,0,0,70.000,30756,1.283752,492,492
1,30,0,0,71.000,31238,1.291107,441,441
1,30,0,0,72.000,31885,1.300980,592,592
1,30,0,0,73.000,32533,1.310867,593,593
1,30,0,0,74.000,33081,1.319229,501,501
1,30,0,0,75.000,33887,1.331528,737,737
1,30,0,0,76.000,34690,1.343781,735,735
1,30,0,0,77.000,35146,1.350739,417,417
1,30,0,0,78.000,35868,1.361755,661,661
1,30,0,0,79.000,36636,1.373474,703,703
1,30,0,0,80.000,37545,1.387344,832,832
1,30,0,0,81.000,38828,1.406921,1174,1174
1,30,0,0,82.000,40371,1.430466,1412,1412
1,30,0,0,83.000,41615,1.449448,1138,1138
1,30,0,0,84.000,42893,1.468948,1170,1170
1,30,0,0,85.000,44149,1.488113,1149,1149
1,30,0,0,86.000,45693,1.511673,1413,1413
1,30,0,0,87.000,47205,1.534744,1384,1384
1,30,0,0,88.000,48536,1.555054,1218,1218
1,30,0,0,89.000,50137,1.579483,1465,1465
1,30,0,0,90.000,51629,1.602249,1365,1365
1,30,0,0,91.000,52655,1.617905,939,939
1,30,0,0,92.000,54130,1.640411,1350,1350
1,30,0,0,93.000,56043,1.669601,1751,1751
1,30,0,0,94.000,57265,1.688248,1118,1118
1,30,0,0,95.000,58463,1.706528,1096,1096
1,30,0,0,96.000,59509,1.722488,957,957
1,30,0,0,97.000,60553,1.738419,955,955
1,30,0,0,98.000,62476,1.767761,1760,1760
1,30,0,0,99.000,63514,1.783600,950,950
1,30,0,0,100.000,64625,1.800552,1017,1017
1,30,0,0,101.000,202,1.817535,1018,1018
1,30,0,0,102.000,1594,1.838776,1274,1274
1,30,0,0,103.000,2630,1.854584,948,948
1,30,0,0,104.000,3695,1.870834,975,975
1,30,0,0,105.000,5023,1.891098,1215,1215
1,30,0,0,106.000,6653,1.915970,1492,1492
1,30,0,0,107.000,7713,1.932144,970,970
1,30,0,0,108.000,8603,1.945724,814,814
1,30,0,0,109.000,9677,1.962112,983,983
1,30,0,0,110.000,11087,1.983627,1290,1290
1,30,0,0,111.000,12667,2.007736,1446,1446
1,30,0,0,112.000,13603,2.022018,856,856
1,30,0,0,113.000,14431,2.034653,758,758
1,30,0,0,114.000,15307,2.048019,802,802
1,30,0,0,115.000,16184,2.061401,802,802
1,30,0,0,116.000,17619,2.083298,1313,1313
1,30,0,0,117.000,18565,2.097733,866,866
1,30,0,0,118.000,19420,2.110779,782,782
1,30,0,0,119.000,20280,2.123901,787,787
1,30,0,0,120.000,21087,2.136215,738,738
1,30,0,0,121.000,22066,2.151154,896,896
1,30,0,0,122.000,22831,2.162827,700,700
1,30,0,0,123.000,23767,2.177109,856,856
1,30,0,0,124.000,24671,2.190903,827,827
1,30,0,0,125.000,25379,2.201706,648,648
1,30,0,0,126.000,26078,2.212372,639,639
1,30,0,0,127.000,26951,2.225693,799,799
1,30,0,0,128.000,27712,2.237305,696,696
1,30,0,0,129.000,28538,2.249908,756,756
1,30,0,0,130.000,29242,2.260651,644,644
1,30,0,0,131.000,29874,2.270294,578,578
1,30,0,0,132.000,30418,2.278595,498,498
1,30,0,0,133.000,30900,2.285950,441,441
1,30,0,0,134.000,31453,2.294388,506,506
1,30,0,0,135.000,32173,2.305374,659,659
1,30,0,0,136.000,32844,2.315613,614,614
1,30,0,0,137.000,33688,2.328491,772,772
1,30,0,0,138.000,34531,2.341354,771,771
1,30,0,0,139.000,35004,2.348572,433,433
1,30,0,0,140.000,35696,2.359131,633,633
1,30,0,0,141.000,36494,2.371307,730,730
1,30,0,0,142.000,37407,2.385239,835,835
1,30,0,0,143.000,38529,2.402359,1027,1027
1,30,0,0,144.000,40014,2.425018,1359,1359
1,30,0,0,145.000,41083,2.441330,978,978
1,30,0,0,146.000,42251,2.459152,1069,1069
1,30,0,0,147.000,43520,2.478516,1161,1161
1,30,0,0,148.000,45053,2.501907,1403,1403
1,30,0,0,149.000,46415,2.522690,1246,1246
1,30,0,0,150.000,47707,2.542404,1182,1182
1,30,0,0,151.000,49001,2.562149,1184,1184
1,30,0,0,152.000,50659,2.587448,1517,1517
1,30,0,0,153.000,51961,2.607315,1192,1192
1,30,0,0,154.000,53044,2.623840,991,991
1,30,0,0,155.000,54527,2.646469,1357,1357
1,30,0,0,156.000,56480,2.676270,1788,1788
1,30,0,0,157.000,57480,2.691528,915,915
1,30,0,0,158.000,58687,2.709946,1105,1105
1,30,0,0,159.000,59759,2.726303,981,981
1,30,0,1,0.000,38882,0.000000,5752,5752
1,30,0,1,1.000,41059,0.033218,1993,1993
1,30,0,1,2.000,42917,0.061569,1701,1701
1,30,0,1,3.000,44608,0.087372,1548,1548
1,30,0,1,4.000,46528,0.116669,1757,1757
1,30,0,1,5.000,48252,0.142975,1578,1578
1,30,0,1,6.000,49957,0.168991,1560,1560
1,30,0,1,7.000,51731,0.196060,1624,1624
1,30,0,1,8.000,53005,0.215500,1166,1166
1,30,0,1,9.000,54567,0.239334,1430,1430
1,30,0,1,10.000,56652,0.271149,1908,1908
1,30,0,1,11.000,57818,0.288940,1067,1067
1,30,0,1,12.000,59081,0.308212,1156,1156
1,30,0,1,13.000,60051,0.323013,888,888
1,30,0,1,14.000,62146,0.354980,1918,1918
1,30,0,1,15.000,63189,0.370895,954,954
1,30,0,1,16.000,64386,0.389160,1095,1095
1,30,0,1,17.000,65491,0.406021,1011,1011
1,30,0,1,18.000,1261,0.425949,1195,1195
1,30,0,1,19.000,2424,0.443695,1064,1064
1,30,0,1,20.000,3420,0.458893,911,911
1,30,0,1,21.000,4511,0.475540,998,998
1,30,0,1,22.000,6009,0.498398,1371,1371
1,30,0,1,23.000,7435,0.520157,1305,1305
1,30,0,1,24.000,8097,0.530258,606,606
1,30,0,1,25.000,8895,0.542435,730,730
1,30,0,1,26.000,9971,0.558853,985,985
