direction,advance_deg,observer_lead_us,repeat,baseline_duty,pulse_duty,baseline_advance_deg,baseline_ms,pulse_ms,sample_hz,sample_count,missed_count,mct_fault_delta,faults,baseline_rpm,start_rpm,rpm_50ms,rpm_100ms,rpm_150ms,final_rpm,gain_0_50_rpm,gain_0_90_rpm,accel_0_50_rpm_s,accel_0_80_rpm_s,accel_20_120_rpm_s,accel_40_160_rpm_s,ripple_120_220,monotonic_fraction,valid,note
1,30,0,0,100,200,90,700,160,1000,160,0,0,0,2828.0254777070063,2149.0,709.0,1017.0,1182.0,1132.65,-968.5714285714287,-1216.047619047619,-22784.07239819005,-18117.02800361337,-1636.8200349446702,733.6308076949786,0.3436362133435277,1.0,True,
1,30,0,1,100,200,90,700,160,1000,160,0,0,0,1822.8343949044586,2001.5454545454545,415.0,11.0,13.0,38.4,-1391.9264069264068,-1955.4502164502164,-36797.01357466064,-25558.965672990067,-10366.40652300524,-2946.5935134384354,0.8018732043856223,0.6981132075471698,False,angle_not_monotonic
1,30,0,2,100,200,90,700,160,1000,160,0,0,0,2269.5859872611463,1601.8181818181818,39.0,59.0,19.0,44.6,-1540.9134199134198,-1563.5324675324675,-36112.488687782796,-15816.237579042454,39.31275480489227,-120.11250781304263,0.6908566007857626,0.5911949685534591,False,angle_not_monotonic
1,50,0,0,100,200,90,700,160,1000,160,0,0,0,2806.0509554140126,1868.8181818181818,2287.0,2532.0,2369.0,2300.1,423.896103896104,504.80086580086595,11339.638009049773,6907.046070460703,-328.7827606290038,-882.835613584277,0.1451676453539677,1.0,True,
1,50,0,1,100,200,90,700,160,1000,160,0,0,0,1897.9299363057326,1709.0,2036.0,2138.0,2056.0,2051.7,314.04761904761904,482.6190476190477,5884.162895927601,6125.97109304426,1660.1164822364578,-193.00298631849455,0.20535186781150755,1.0,True,
1,50,0,2,100,200,90,700,160,1000,160,0,0,0,1717.5477707006369,1874.7272727272727,1727.0,2321.0,1693.0,2125.0,245.74891774891762,207.7012987012988,3410.316742081449,660.6368563685643,20.489225393127303,-64.5253142579346,0.20942589748660176,1.0,True,
1,70,0,0,100,200,90,700,160,1000,160,0,0,0,2282.388535031847,2550.3636363636365,3480.0,3042.0,3272.0,3645.8,935.3982683982681,1058.2554112554112,22505.06787330316,13598.125564588974,3117.7052999417583,344.7114382943263,0.11504646396472346,1.0,True,
1,70,0,1,100,200,90,700,160,1000,160,0,0,0,2637.611464968153,2448.5454545454545,3750.0,2969.0,3903.0,3585.15,1137.121212121212,1094.7402597402597,26810.2262443439,12851.603432700995,844.0768782760623,148.472116119175,0.09659417715879019,1.0,True,
1,70,0,2,100,200,90,700,160,1000,160,0,0,0,1654.3949044585988,2301.7272727272725,3828.0,3468.0,4287.0,3812.7,1322.8917748917752,1486.0822510822513,33116.832579185524,17205.12646793134,2599.0564938846824,993.4926036530326,0.09061493195644028,1.0,True,
1,90,0,0,100,200,90,700,160,1000,160,0,0,0,2067.229299363057,2925.0,5113.0,4871.0,5227.0,4860.5,1815.5714285714284,1975.9523809523807,44688.23529411764,23882.83649503161,2569.7495631916136,266.80325022571026,0.06738612700498034,1.0,True,
