direction,advance_deg,observer_lead_us,repeat,baseline_duty,pulse_duty,baseline_advance_deg,baseline_ms,pulse_ms,sample_hz,sample_count,missed_count,mct_fault_delta,faults,baseline_rpm,start_rpm,rpm_50ms,rpm_100ms,rpm_150ms,final_rpm,gain_0_50_rpm,gain_0_90_rpm,accel_0_50_rpm_s,accel_0_80_rpm_s,accel_20_120_rpm_s,accel_40_160_rpm_s,ripple_120_220,monotonic_fraction,valid,note
1,90,-600,0,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
1,90,-600,1,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
1,90,-600,2,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
-1,90,-600,0,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
-1,90,-600,1,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
-1,90,-600,2,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
1,90,-400,0,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
1,90,-400,1,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
1,90,-400,2,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
-1,90,-400,0,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
