direction,advance_deg,observer_lead_us,repeat,t_ms,angle_turn16,position_turns,rpm,speed_rpm
1,90,-100,0,0.000,8754,0.000000,6217,6217
1,90,-100,0,1.000,11230,0.037781,2266,2266
1,90,-100,0,2.000,13857,0.077866,2405,2405
1,90,-100,0,3.000,16023,0.110916,1983,1983
1,90,-100,0,4.000,19469,0.163498,3154,3154
1,90,-100,0,5.000,22467,0.209244,2744,2744
1,90,-100,0,6.000,25517,0.255783,2792,2792
1,90,-100,0,7.000,29210,0.312134,3381,3381
1,90,-100,0,8.000,32567,0.363358,3073,3073
1,90,-100,0,9.000,36779,0.427628,3856,3856
1,90,-100,0,10.000,40874,0.490112,3749,3749
1,90,-100,0,11.000,44965,0.552536,3745,3745
1,90,-100,0,12.000,48900,0.612579,3602,3602
1,90,-100,0,13.000,52475,0.667130,3273,3273
1,90,-100,0,14.000,57261,0.740158,4381,4381
1,90,-100,0,15.000,61504,0.804901,3884,3884
1,90,-100,0,16.000,492,0.873932,4141,4141
1,90,-100,0,17.000,4730,0.938599,3880,3880
1,90,-100,0,18.000,9285,1.008102,4170,4170
1,90,-100,0,19.000,14241,1.083725,4537,4537
1,90,-100,0,20.000,18628,1.150665,4016,4016
1,90,-100,0,21.000,22887,1.215652,3899,3899
1,90,-100,0,22.000,27717,1.289352,4421,4421
1,90,-100,0,23.000,31856,1.352509,3789,3789
1,90,-100,0,24.000,36989,1.430832,4699,4699
1,90,-100,0,25.000,41823,1.504593,4425,4425
1,90,-100,0,26.000,46202,1.571411,4009,4009
1,90,-100,0,27.000,50996,1.644562,4389,4389
1,90,-100,0,28.000,55670,1.715881,4279,4279
1,90,-100,0,29.000,59840,1.779510,3817,3817
1,90,-100,0,30.000,65142,1.860413,4854,4854
1,90,-100,0,31.000,3998,1.927429,4020,4020
1,90,-100,0,32.000,8941,2.002853,4525,4525
1,90,-100,0,33.000,13800,2.076996,4448,4448
1,90,-100,0,34.000,18578,2.149902,4374,4374
1,90,-100,0,35.000,22988,2.217194,4037,4037
1,90,-100,0,36.000,28032,2.294159,4617,4617
1,90,-100,0,37.000,32507,2.362442,4096,4096
1,90,-100,0,38.000,37471,2.438187,4544,4544
1,90,-100,0,39.000,42608,2.516571,4703,4703
1,90,-100,0,40.000,47058,2.584473,4074,4074
1,90,-100,0,41.000,51659,2.654678,4212,4212
1,90,-100,0,42.000,56802,2.733154,4708,4708
1,90,-100,0,43.000,61157,2.799606,3987,3987
1,90,-100,0,44.000,630,2.876038,4585,4585
1,90,-100,0,45.000,5490,2.950195,4449,4449
1,90,-100,0,46.000,10349,3.024338,4448,4448
1,90,-100,0,47.000,14710,3.090881,3992,3992
1,90,-100,0,48.000,19824,3.168915,4682,4682
1,90,-100,0,49.000,24491,3.240128,4272,4272
1,90,-100,0,50.000,29465,3.316025,4553,4553
1,90,-100,0,51.000,35036,3.401031,5100,5100
1,90,-100,0,52.000,39504,3.469208,4090,4090
1,90,-100,0,53.000,43848,3.535492,3977,3977
1,90,-100,0,54.000,48637,3.608566,4384,4384
1,90,-100,0,55.000,53066,3.676147,4054,4054
1,90,-100,0,56.000,58244,3.755157,4740,4740
1,90,-100,0,57.000,63443,3.834488,4759,4759
1,90,-100,0,58.000,2455,3.903885,4163,4163
1,90,-100,0,59.000,7717,3.984177,4817,4817
1,90,-100,0,60.000,12380,4.055328,4269,4269
1,90,-100,0,61.000,16363,4.116104,3646,3646
1,90,-100,0,62.000,21804,4.199127,4981,4981
1,90,-100,0,63.000,26563,4.271744,4356,4356
1,90,-100,0,64.000,30882,4.337646,3954,3954
1,90,-100,0,65.000,36616,4.425140,5249,5249
1,90,-100,0,66.000,41572,4.500763,4537,4537
1,90,-100,0,67.000,46179,4.571060,4217,4217
1,90,-100,0,68.000,51059,4.645523,4467,4467
1,90,-100,0,69.000,56147,4.723160,4658,4658
1,90,-100,0,70.000,60071,4.783035,3592,3592
1,90,-100,0,71.000,179,4.869156,5167,5167
1,90,-100,0,72.000,5017,4.942978,4429,4429
1,90,-100,0,73.000,9370,5.009399,3985,3985
1,90,-100,0,74.000,14527,5.088089,4721,4721
1,90,-100,0,75.000,19684,5.166779,4721,4721
1,90,-100,0,76.000,24425,5.239120,4340,4340
1,90,-100,0,77.000,29484,5.316315,4631,4631
1,90,-100,0,78.000,35131,5.402481,5169,5169
1,90,-100,0,79.000,39828,5.474152,4300,4300
1,90,-100,0,80.000,44253,5.541672,4051,4051
1,90,-100,0,81.000,49021,5.614426,4365,4365
1,90,-100,0,82.000,53702,5.685852,4285,4285
1,90,-100,0,83.000,58870,5.764709,4731,4731
1,90,-100,0,84.000,64198,5.846008,4877,4877
1,90,-100,0,85.000,3128,5.914154,4088,4088
1,90,-100,0,86.000,8279,5.992752,4715,4715
1,90,-100,0,87.000,13089,6.066147,4403,4403
1,90,-100,0,88.000,17450,6.132690,3992,3992
1,90,-100,0,89.000,22239,6.205765,4384,4384
1,90,-100,0,90.000,27071,6.279495,4423,4423
1,90,-100,0,91.000,31385,6.345322,3949,3949
1,90,-100,0,92.000,36871,6.429031,5022,5022
1,90,-100,0,93.000,41401,6.498154,4147,4147
1,90,-100,0,94.000,46337,6.573471,4519,4519
1,90,-100,0,95.000,51132,6.646637,4389,4389
1,90,-100,0,96.000,56292,6.725372,4724,4724
1,90,-100,0,97.000,60066,6.782959,3455,3455
1,90,-100,0,98.000,64,6.867401,5066,5066
1,90,-100,0,99.000,4818,6.939941,4352,4352
1,90,-100,0,100.000,9131,7.005753,3948,3948
1,90,-100,0,101.000,14348,7.085358,4776,4776
1,90,-100,0,102.000,19347,7.161636,4576,4576
1,90,-100,0,103.000,23923,7.231461,4189,4189
1,90,-100,0,104.000,29064,7.309906,4706,4706
1,90,-100,0,105.000,34486,7.392639,4963,4963
1,90,-100,0,106.000,38071,7.447342,3282,3282
1,90,-100,0,107.000,43375,7.528275,4855,4855
1,90,-100,0,108.000,48279,7.603104,4489,4489
1,90,-100,0,109.000,52645,7.669724,3997,3997
1,90,-100,0,110.000,57879,7.749588,4791,4791
1,90,-100,0,111.000,62870,7.825745,4569,4569
1,90,-100,0,112.000,1956,7.896271,4231,4231
1,90,-100,0,113.000,6527,7.966019,4184,4184
1,90,-100,0,114.000,11262,8.038269,4335,4335
1,90,-100,0,115.000,15572,8.104034,3945,3945
1,90,-100,0,116.000,20785,8.183578,4772,4772
1,90,-100,0,117.000,25313,8.252670,4145,4145
1,90,-100,0,118.000,30083,8.325455,4367,4367
1,90,-100,0,119.000,35560,8.409027,5014,5014
1,90,-100,0,120.000,39784,8.473480,3867,3867
1,90,-100,0,121.000,44609,8.547104,4417,4417
1,90,-100,0,122.000,49252,8.617950,4250,4250
1,90,-100,0,123.000,53805,8.687424,4168,4168
1,90,-100,0,124.000,58877,8.764816,4643,4643
1,90,-100,0,125.000,64076,8.844147,4759,4759
1,90,-100,0,126.000,2974,8.911804,4059,4059
1,90,-100,0,127.000,7791,8.985306,4410,4410
1,90,-100,0,128.000,12922,9.063599,4697,4697
1,90,-100,0,129.000,16921,9.124619,3661,3661
1,90,-100,0,130.000,21994,9.202026,4644,4644
1,90,-100,0,131.000,26681,9.273544,4291,4291
1,90,-100,0,132.000,30924,9.338287,3884,3884
1,90,-100,0,133.000,36514,9.423584,5117,5117
1,90,-100,0,134.000,40808,9.489105,3931,3931
1,90,-100,0,135.000,45584,9.561981,4372,4372
1,90,-100,0,136.000,50192,9.632294,4218,4218
