direction,advance_deg,observer_lead_us,repeat,t_ms,angle_turn16,position_turns,rpm,speed_rpm
1,90,0,0,0.000,16835,0.000000,3917,3917
1,90,0,0,1.000,18946,0.032211,1932,1932
1,90,0,0,2.000,21036,0.064102,1913,1913
1,90,0,0,3.000,23176,0.096756,1959,1959
1,90,0,0,4.000,26056,0.140701,2636,2636
1,90,0,0,5.000,29082,0.186874,2770,2770
1,90,0,0,6.000,31277,0.220367,2009,2009
1,90,0,0,7.000,35698,0.287827,4047,4047
1,90,0,0,8.000,38641,0.332733,2694,2694
1,90,0,0,9.000,42737,0.395233,3750,3750
1,90,0,0,10.000,46700,0.455704,3628,3628
1,90,0,0,11.000,50924,0.520157,3867,3867
1,90,0,0,12.000,54680,0.577469,3438,3438
1,90,0,0,13.000,59153,0.645721,4095,4095
1,90,0,0,14.000,63716,0.715347,4177,4177
1,90,0,0,15.000,2448,0.780472,3907,3907
1,90,0,0,16.000,7526,0.857956,4649,4649
1,90,0,0,17.000,12356,0.931656,4421,4421
1,90,0,0,18.000,16204,0.990372,3522,3522
1,90,0,0,19.000,21509,1.071320,4856,4856
1,90,0,0,20.000,26272,1.143997,4360,4360
1,90,0,0,21.000,30477,1.208160,3849,3849
1,90,0,0,22.000,36151,1.294739,5194,5194
1,90,0,0,23.000,40981,1.368439,4421,4421
1,90,0,0,24.000,46071,1.446106,4660,4660
1,90,0,0,25.000,51164,1.523819,4662,4662
1,90,0,0,26.000,56496,1.605179,4881,4881
1,90,0,0,27.000,60971,1.673462,4096,4096
1,90,0,0,28.000,469,1.750275,4608,4608
1,90,0,0,29.000,5609,1.828705,4705,4705
1,90,0,0,30.000,10831,1.908386,4780,4780
1,90,0,0,31.000,15699,1.982666,4456,4456
1,90,0,0,32.000,21203,2.066650,5039,5039
1,90,0,0,33.000,26409,2.146088,4766,4766
1,90,0,0,34.000,31270,2.220261,4450,4450
1,90,0,0,35.000,36796,2.304581,5059,5059
1,90,0,0,36.000,42233,2.387543,4977,4977
1,90,0,0,37.000,47676,2.470596,4983,4983
1,90,0,0,38.000,52532,2.544693,4445,4445
1,90,0,0,39.000,58185,2.630951,5175,5175
1,90,0,0,40.000,63886,2.717941,5219,5219
1,90,0,0,41.000,3235,2.792480,4472,4472
1,90,0,0,42.000,8435,2.871826,4760,4760
1,90,0,0,43.000,14045,2.957428,5136,5136
1,90,0,0,44.000,19371,3.038696,4876,4876
1,90,0,0,45.000,24579,3.118164,4768,4768
1,90,0,0,46.000,30043,3.201538,5002,5002
1,90,0,0,47.000,36098,3.293930,5543,5543
1,90,0,0,48.000,41382,3.374557,4837,4837
1,90,0,0,49.000,46407,3.451233,4600,4600
1,90,0,0,50.000,51704,3.532059,4849,4849
1,90,0,0,51.000,57205,3.615997,5036,5036
1,90,0,0,52.000,62849,3.702118,5167,5167
1,90,0,0,53.000,2429,3.780182,4683,4683
1,90,0,0,54.000,8119,3.867004,5209,5209
1,90,0,0,55.000,13778,3.953354,5180,5180
1,90,0,0,56.000,18605,4.027008,4419,4419
1,90,0,0,57.000,23852,4.107071,4803,4803
1,90,0,0,58.000,29661,4.195709,5318,5318
1,90,0,0,59.000,35813,4.289581,5632,5632
1,90,0,0,60.000,41284,4.373062,5008,5008
1,90,0,0,61.000,47102,4.461838,5326,5326
1,90,0,0,62.000,52281,4.540863,4741,4741
1,90,0,0,63.000,58141,4.630280,5364,5364
1,90,0,0,64.000,63614,4.713791,5010,5010
1,90,0,0,65.000,3282,4.793198,4764,4764
1,90,0,0,66.000,9011,4.880615,5245,5245
1,90,0,0,67.000,14826,4.969345,5323,5323
1,90,0,0,68.000,20736,5.059525,5410,5410
1,90,0,0,69.000,26447,5.146667,5228,5228
1,90,0,0,70.000,31838,5.228928,4935,4935
1,90,0,0,71.000,37490,5.315170,5174,5174
1,90,0,0,72.000,43552,5.407669,5549,5549
1,90,0,0,73.000,49071,5.491882,5052,5052
1,90,0,0,74.000,54575,5.575867,5039,5039
1,90,0,0,75.000,59934,5.657639,4906,4906
1,90,0,0,76.000,688,5.753616,5758,5758
1,90,0,0,77.000,6718,5.845627,5520,5520
1,90,0,0,78.000,12002,5.926254,4837,4837
1,90,0,0,79.000,16992,6.002396,4568,4568
1,90,0,0,80.000,22713,6.089691,5237,5237
1,90,0,0,81.000,28560,6.178909,5353,5353
1,90,0,0,82.000,34795,6.274048,5708,5708
1,90,0,0,83.000,40074,6.354599,4833,4833
1,90,0,0,84.000,45488,6.437210,4956,4956
1,90,0,0,85.000,50659,6.516113,4734,4734
1,90,0,0,86.000,56559,6.606140,5401,5401
1,90,0,0,87.000,61943,6.688293,4929,4929
1,90,0,0,88.000,1958,6.772995,5082,5082
1,90,0,0,89.000,7773,6.861725,5323,5323
1,90,0,0,90.000,13486,6.948898,5230,5230
1,90,0,0,91.000,18851,7.030762,4911,4911
1,90,0,0,92.000,23734,7.105270,4470,4470
1,90,0,0,93.000,29502,7.193283,5280,5280
1,90,0,0,94.000,35670,7.287399,5646,5646
1,90,0,0,95.000,41182,7.371506,5046,5046
1,90,0,0,96.000,46993,7.460175,5320,5320
1,90,0,0,97.000,52207,7.539734,4773,4773
1,90,0,0,98.000,58088,7.629471,5384,5384
1,90,0,0,99.000,64079,7.720886,5484,5484
1,90,0,0,100.000,3243,7.792603,4302,4302
1,90,0,0,101.000,9003,7.880493,5273,5273
1,90,0,0,102.000,14813,7.969147,5319,5319
1,90,0,0,103.000,20773,8.060089,5456,5456
1,90,0,0,104.000,26434,8.146469,5182,5182
1,90,0,0,105.000,31796,8.228287,4909,4909
1,90,0,0,106.000,37874,8.321030,5564,5564
1,90,0,0,107.000,43595,8.408325,5237,5237
1,90,0,0,108.000,49209,8.493988,5139,5139
1,90,0,0,109.000,54829,8.579742,5145,5145
1,90,0,0,110.000,60260,8.662613,4972,4972
1,90,0,0,111.000,1281,8.762665,6003,6003
1,90,0,0,112.000,7496,8.857498,5690,5690
1,90,0,0,113.000,13356,8.946915,5364,5364
1,90,0,0,114.000,18354,9.023178,4575,4575
1,90,0,0,115.000,23805,9.106354,4990,4990
1,90,0,0,116.000,29820,9.198135,5506,5506
1,90,0,0,117.000,36090,9.293808,5740,5740
1,90,0,0,118.000,41776,9.380569,5205,5205
1,90,0,0,119.000,47717,9.471222,5439,5439
1,90,0,0,120.000,52832,9.549271,4682,4682
1,90,0,0,121.000,58421,9.634552,5116,5116
1,90,0,0,122.000,64522,9.727646,5585,5585
1,90,0,0,123.000,4237,9.807770,4807,4807
1,90,0,0,124.000,10152,9.898026,5415,5415
1,90,0,0,125.000,15633,9.981659,5018,5018
1,90,0,0,126.000,21679,10.073914,5535,5535
1,90,0,0,127.000,27210,10.158310,5063,5063
1,90,0,0,128.000,32075,10.232544,4454,4454
1,90,0,0,129.000,37933,10.321930,5363,5363
1,90,0,0,130.000,43915,10.413208,5476,5476
1,90,0,0,131.000,49276,10.495010,4908,4908
1,90,0,0,132.000,54650,10.577011,4920,4920
1,90,0,0,133.000,59963,10.658081,4864,4864
1,90,0,0,134.000,823,10.755676,5855,5855
1,90,0,0,135.000,5885,10.832916,4634,4634
1,90,0,0,136.000,11893,10.924591,5500,5500
1,90,0,0,137.000,16811,10.999634,4502,4502
1,90,0,0,138.000,22573,11.087555,5275,5275
1,90,0,0,139.000,28369,11.175995,5306,5306
1,90,0,0,140.000,34448,11.268753,5565,5565
1,90,0,0,141.000,39750,11.349655,4854,4854
1,90,0,0,142.000,44729,11.425629,4558,4558
1,90,0,0,143.000,50154,11.508408,4966,4966
1,90,0,0,144.000,55807,11.594666,5175,5175
1,90,0,0,145.000,60813,11.671051,4583,4583
1,90,0,0,146.000,1139,11.760498,5366,5366
1,90,0,0,147.000,6957,11.849274,5326,5326
1,90,0,0,148.000,12652,11.936172,5213,5213
1,90,0,0,149.000,16594,11.996323,3609,3609
1,90,0,0,150.000,22414,12.085129,5328,5328
1,90,0,0,151.000,28009,12.170502,5122,5122
1,90,0,0,152.000,33795,12.258789,5297,5297
1,90,0,0,153.000,39110,12.339890,4866,4866
1,90,0,0,154.000,44839,12.427307,5245,5245
1,90,0,0,155.000,50321,12.510956,5018,5018
1,90,0,0,156.000,55073,12.583466,4350,4350
1,90,0,0,157.000,60061,12.659576,4566,4566
1,90,0,0,158.000,782,12.755051,5728,5728
1,90,0,0,159.000,6574,12.843430,5302,5302
1,90,0,1,0.000,34309,0.000000,5727,5727
1,90,0,1,1.000,36070,0.026871,1612,1612
1,90,0,1,2.000,37951,0.055573,1722,1722
1,90,0,1,3.000,41105,0.103699,2887,2887
1,90,0,1,4.000,43829,0.145264,2493,2493
1,90,0,1,5.000,47369,0.199280,3240,3240
