direction,advance_deg,observer_lead_us,repeat,baseline_duty,pulse_duty,baseline_advance_deg,baseline_ms,pulse_ms,sample_hz,sample_count,missed_count,mct_fault_delta,faults,baseline_rpm,start_rpm,rpm_50ms,rpm_100ms,rpm_150ms,final_rpm,gain_0_50_rpm,gain_0_90_rpm,accel_0_50_rpm_s,accel_0_80_rpm_s,accel_20_120_rpm_s,accel_40_160_rpm_s,ripple_120_220,monotonic_fraction,valid,note
1,90,0,0,100,200,90,700,160,1000,160,0,0,0,2096.56050955414,2841.3636363636365,4849.0,4302.0,5328.0,5001.85,2024.9220779220782,2307.398268398268,49103.71040723983,27784.462511291782,6438.578916715203,399.2950899368008,0.08577105412951391,1.0,True,
1,90,0,1,100,200,90,700,160,1000,160,0,0,0,2013.248407643312,3234.5454545454545,5681.0,5573.0,5627.0,5318.35,2056.5021645021648,2228.1212121212125,51474.11764705884,27753.61336946704,4005.3814793244023,-1090.1868185290648,0.06635645120546575,1.0,True,
1,90,0,2,100,200,90,700,160,1000,160,0,0,0,2251.2420382165606,3297.090909090909,5627.0,4991.0,4765.0,5157.2,1871.0995670995671,1948.4805194805194,45023.43891402714,23564.182475158086,1474.0244612696558,-1375.9323564136405,0.06977746215308787,1.0,True,
-1,90,0,0,100,200,90,700,160,1000,160,0,0,0,2102.0063694267515,3037.181818181818,5699.0,5407.0,4475.0,5369.3,2305.2467532467535,2362.8658008658012,58408.778280543,28672.53839205059,2175.71345369831,-510.7785262865479,0.052569847777760303,1.0,True,
-1,90,0,1,100,200,90,700,160,1000,160,0,0,0,2849.140127388535,3277.181818181818,5573.0,4917.0,5359.0,5353.0,1960.484848484849,2107.961038961039,47559.45701357465,23489.79223125565,4565.230052417007,717.942218209598,0.05901587068405236,1.0,True,
-1,90,0,2,100,200,90,700,160,1000,160,0,0,0,2178.917197452229,3300.909090909091,5626.0,5828.0,5603.0,5445.65,2023.6623376623374,2181.757575757576,50679.63800904976,27497.35772357723,3256.004659289458,-174.1127856101118,0.058386684329610035,1.0,True,
1,90,50,0,100,200,90,700,160,1000,160,0,0,0,2295.191082802548,3095.181818181818,5502.0,6168.0,5529.0,5716.9,2473.294372294373,2666.9134199134205,60717.64705882351,33303.09394760613,2860.034944670936,-460.2402944648934,0.06461209364934566,1.0,True,
1,90,50,1,100,200,90,700,160,1000,160,0,0,0,2232.9936305732485,3110.2727272727275,5459.0,5423.0,4887.0,5593.2,2215.3939393939395,2401.489177489177,53743.981900452476,29118.721770551034,4646.196854979614,1112.21612611987,0.059842180207454736,1.0,True,
1,90,50,2,100,200,90,700,160,1000,160,0,0,0,2235.764331210191,3174.4545454545455,5405.0,5744.0,5449.0,5758.55,2375.5930735930738,2579.831168831169,59822.53393665157,32546.093044263795,6440.034944670938,1030.0263907215779,0.05110716552379863,1.0,True,
-1,90,50,0,100,200,90,700,160,1000,160,0,0,0,2216.4649681528663,3130.909090909091,4612.0,5267.0,5937.0,5875.1,2409.281385281385,2627.948051948052,58547.23981900454,31599.00632339656,4960.0,1413.674560733385,0.06115088290479136,1.0,True,
