direction,advance_deg,observer_lead_us,repeat,t_ms,angle_turn16,position_turns,rpm,speed_rpm
1,90,250,0,0.000,61417,0.000000,6837,6837
1,90,250,0,1.000,64067,0.040436,2426,2426
1,90,250,0,2.000,1066,0.079117,2320,2320
1,90,250,0,3.000,3647,0.118500,2362,2362
1,90,250,0,4.000,7753,0.181152,3759,3759
1,90,250,0,5.000,11332,0.235764,3276,3276
1,90,250,0,6.000,14607,0.285736,2998,2998
1,90,250,0,7.000,19052,0.353561,4069,4069
1,90,250,0,8.000,23244,0.417526,3837,3837
1,90,250,0,9.000,28139,0.492218,4481,4481
1,90,250,0,10.000,32910,0.565018,4367,4367
1,90,250,0,11.000,37999,0.642670,4659,4659
1,90,250,0,12.000,43791,0.731049,5302,5302
1,90,250,0,13.000,48574,0.804031,4378,4378
1,90,250,0,14.000,53722,0.882584,4713,4713
1,90,250,0,15.000,59452,0.970016,5245,5245
1,90,250,0,16.000,75,1.063995,5638,5638
1,90,250,0,17.000,6177,1.157104,5586,5586
1,90,250,0,18.000,12771,1.257721,6036,6036
1,90,250,0,19.000,18368,1.343124,5124,5124
1,90,250,0,20.000,23602,1.422989,4791,4791
1,90,250,0,21.000,30041,1.521240,5895,5895
1,90,250,0,22.000,36926,1.626297,6303,6303
1,90,250,0,23.000,43687,1.729462,6189,6189
1,90,250,0,24.000,50233,1.829346,5993,5993
1,90,250,0,25.000,56908,1.931198,6111,6111
1,90,250,0,26.000,63775,2.035980,6286,6286
1,90,250,0,27.000,3633,2.118286,4938,4938
1,90,250,0,28.000,10897,2.229126,6650,6650
1,90,250,0,29.000,17754,2.333755,6277,6277
1,90,250,0,30.000,24454,2.435989,6134,6134
1,90,250,0,31.000,31124,2.537766,6106,6106
1,90,250,0,32.000,38962,2.657364,7175,7175
1,90,250,0,33.000,46465,2.771851,6869,6869
1,90,250,0,34.000,52371,2.861969,5407,5407
1,90,250,0,35.000,59485,2.970520,6513,6513
1,90,250,0,36.000,1706,3.088882,7101,7101
1,90,250,0,37.000,8770,3.196671,6467,6467
1,90,250,0,38.000,15833,3.304443,6466,6466
1,90,250,0,39.000,23238,3.417435,6779,6779
1,90,250,0,40.000,30449,3.527466,6601,6601
1,90,250,0,41.000,38188,3.645554,7085,7085
1,90,250,0,42.000,45357,3.754944,6563,6563
1,90,250,0,43.000,52381,3.862122,6430,6430
1,90,250,0,44.000,59601,3.972290,6610,6610
1,90,250,0,45.000,1999,4.093353,7263,7263
1,90,250,0,46.000,9153,4.202515,6549,6549
1,90,250,0,47.000,16427,4.313507,6659,6659
1,90,250,0,48.000,24048,4.429794,6977,6977
1,90,250,0,49.000,30616,4.530014,6013,6013
1,90,250,0,50.000,38506,4.650406,7223,7223
1,90,250,0,51.000,46607,4.774017,7416,7416
1,90,250,0,52.000,53269,4.875671,6099,6099
1,90,250,0,53.000,60715,4.989288,6817,6817
1,90,250,0,54.000,2828,5.106003,7002,7002
1,90,250,0,55.000,10316,5.220261,6855,6855
1,90,250,0,56.000,16709,5.317810,5852,5852
