direction,advance_deg,observer_lead_us,repeat,baseline_duty,pulse_duty,baseline_advance_deg,baseline_ms,pulse_ms,sample_hz,sample_count,missed_count,mct_fault_delta,faults,baseline_rpm,start_rpm,rpm_50ms,rpm_100ms,rpm_150ms,final_rpm,gain_0_50_rpm,gain_0_90_rpm,accel_0_50_rpm_s,accel_0_80_rpm_s,accel_20_120_rpm_s,accel_40_160_rpm_s,ripple_120_220,monotonic_fraction,valid,note
1,90,250,0,100,200,90,700,160,1000,160,0,0,0,2517.707006369427,3702.909090909091,7223.0,6667.0,6632.0,6738.7,2915.6623376623374,3074.757575757576,72969.04977375564,38810.523938572725,5895.818287711123,-96.08653378706875,0.04611092478499338,1.0,True,
1,90,250,1,100,200,90,700,160,1000,160,0,0,0,1535.3503184713377,3279.181818181818,6734.0,6147.0,5307.0,6599.3,3211.7705627705627,3466.9134199134205,80960.1809954751,42834.19150858177,5787.233546884099,-43.822487672755045,0.08090396939613953,1.0,True,
1,90,250,2,100,200,90,700,160,1000,160,0,0,0,1801.71974522293,3378.5454545454545,6357.0,7088.0,6590.0,6512.45,2928.4069264069262,3204.9307359307363,73769.1402714932,39828.16169828365,6910.366919044844,-58.024862837697235,0.05464159214074568,1.0,True,
1,90,250,3,100,200,90,700,160,1000,160,0,0,0,1725.7643312101911,3394.7272727272725,6393.0,6963.0,6784.0,6598.65,2942.034632034632,3184.558441558442,73389.23076923077,39277.86811201446,6582.294700058241,1137.3150913257875,0.0692197847504598,1.0,True,
1,90,250,4,100,200,90,700,160,1000,160,0,0,0,1989.4585987261146,3433.5454545454545,6030.0,6427.0,6781.0,6463.15,2977.025974025974,3163.025974025974,74121.62895927601,37900.06775067752,3842.865463016889,-66.64004444753094,0.062100979359047535,1.0,True,
-1,90,250,0,100,200,90,700,160,1000,160,0,0,0,1866.783439490446,3310.818181818182,6810.0,6691.0,5544.0,6573.55,3231.4675324675327,3294.372294372294,81262.8054298643,40787.804878048795,6361.397786837508,152.31960552816165,0.07681810167752642,1.0,True,
-1,90,250,1,100,200,90,700,160,1000,160,0,0,0,2135.923566878981,3243.181818181818,6613.0,6546.0,6842.0,6478.65,3015.3896103896104,3295.294372294373,74530.13574660632,41470.009033423674,5514.5486313337215,-213.47315785818472,0.06815764627662575,1.0,True,
-1,90,250,2,100,200,90,700,160,1000,160,0,0,0,2481.1146496815286,3650.4545454545455,6782.0,6291.0,6707.0,6618.15,2715.25974025974,3030.5930735930738,67946.87782805429,36514.1147244806,5768.584740827024,475.61288978401285,0.04774145114911972,1.0,True,
-1,90,250,3,100,200,90,700,160,1000,160,0,0,0,2570.828025477707,3462.181818181818,6481.0,6763.0,7341.0,6710.3,3035.484848484849,3201.961038961039,76965.42986425337,39653.16169828365,6153.395457192776,902.6182373775961,0.073545899801775,1.0,True,
-1,90,250,4,100,200,90,700,160,1000,160,0,0,0,2839.9681528662422,3503.3636363636365,6839.0,6527.0,6232.0,6593.65,3048.874458874459,3099.207792207792,77536.74208144794,37774.41282746162,5314.408852649968,143.77734564900322,0.04350427509267691,1.0,True,
