direction,duty,advance_deg,sample_hz,duration_ms,result,sample_count,missed_count,mct_fault_count,faults,rpm_start,rpm_end,rpm_peak,accel_rpm_s,accel_window_rpm_s,final_rpm_mean,final_rpm_std,ripple,angle_delta_turns,monotonic_fraction,valid,note
1,100,90,500,300,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,100,90,500,300,0,150,0,1,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,150,90,500,300,0,150,0,1,0,0.0,0.0,0.0,-136.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,150,90,500,300,0,150,0,2,0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,100,30,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,100,50,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,100,70,500,300,0,150,0,2,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,100,90,500,300,0,150,0,2,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,100,110,500,300,0,150,0,2,0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,100,130,500,300,0,150,0,2,0,0.0,0.0,0.0,-146.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,100,150,500,300,0,150,0,2,0,0.0,0.0,0.0,-56.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,150,30,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,150,50,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,150,70,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,150,90,500,300,0,150,0,2,0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,150,110,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,150,130,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,150,150,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,200,30,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,200,50,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,200,70,500,300,0,150,0,2,0,0.0,0.0,0.0,-63.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,200,90,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,200,110,500,300,0,150,0,2,0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,200,130,500,300,0,150,0,2,0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,200,150,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,250,30,500,300,0,150,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,250,50,500,300,0,150,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,250,70,500,300,0,150,0,3,0,0.0,0.0,0.0,-146.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,250,90,500,300,0,150,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,250,110,500,300,0,150,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,250,130,500,300,0,150,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
1,250,150,500,300,0,150,0,4,0,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,100,30,500,300,0,150,0,5,0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,100,50,500,300,0,150,0,6,0,0.0,0.0,0.0,-73.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,100,70,500,300,0,150,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,100,90,500,300,0,150,0,8,0,0.0,0.0,0.0,-230.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,100,110,500,300,0,150,0,9,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,100,130,500,300,0,150,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,100,150,500,300,0,150,0,11,0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,150,30,500,300,0,150,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,150,50,500,300,0,150,0,13,0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,150,70,500,300,0,150,0,14,0,0.0,0.0,0.0,-93.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,150,90,500,300,0,150,0,15,0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,150,110,500,300,0,150,0,16,0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,150,130,500,300,0,150,0,17,0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,150,150,500,300,0,150,0,18,0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,200,30,500,300,0,150,0,19,0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,200,50,500,300,0,150,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,200,70,500,300,0,150,0,21,0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,200,90,500,300,0,150,0,22,0,0.0,0.0,0.0,-230.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,200,110,500,300,0,150,0,23,0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,200,130,500,300,0,150,0,24,0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,200,150,500,300,0,150,0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,250,30,500,300,0,150,0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,250,50,500,300,0,150,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,250,70,500,300,0,150,0,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,250,90,500,300,0,150,0,29,0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,250,110,500,300,0,150,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,250,130,500,300,0,150,0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
-1,250,150,500,300,0,150,0,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,
