direction,duty,advance_deg,sample_hz,duration_ms,result,sample_count,missed_count,mct_fault_count,faults,rpm_start,rpm_end,rpm_peak,accel_rpm_s,accel_window_rpm_s,final_rpm_mean,final_rpm_std,ripple,angle_delta_turns,monotonic_fraction,valid,note
1,100,90,500,300,0,150,0,23,0,246.0,2734.0,3877.0,8806.0,-167.2097276791762,2773.46,421.39739961229,0.1519392382123016,13.305145263671875,1.0,True,
-1,100,90,500,300,0,150,0,23,0,308.0,3129.0,3895.0,9820.0,-26.402249017748346,2751.38,407.9767096293611,0.14828075715799383,13.203445434570312,1.0,True,
1,150,90,500,300,0,150,0,23,0,303.0,4868.0,5664.0,15760.0,953.898523235334,5046.6,317.58847586145185,0.06293117660631947,23.710067749023438,1.0,True,
-1,150,90,500,300,0,150,0,23,0,328.0,5319.0,5784.0,17223.0,360.13751524183704,5073.34,381.75602732635406,0.07524747549471433,23.933517456054688,1.0,True,
1,100,30,500,300,0,150,0,23,0,101.0,53.0,182.0,413.0,16.74908548977103,30.14,18.02110984373604,0.5979133989295301,0.0121917724609375,0.5234899328859061,False,angle_not_monotonic
1,100,50,500,300,0,150,0,23,0,435.0,1863.0,3110.0,5956.0,199.80693672944014,1982.32,363.2150018928183,0.18322722965657326,9.28863525390625,1.0,True,
1,100,70,500,300,0,150,0,23,0,296.0,2308.0,3446.0,7483.0,82.59720905026415,2361.18,397.1863889913651,0.16821520976434035,11.568771362304688,1.0,True,
1,100,90,500,300,0,150,0,23,0,273.0,3198.0,3953.0,10133.0,-161.39750711285734,2894.02,361.63951609302876,0.12496095952793304,13.9300537109375,1.0,True,
1,100,110,500,300,0,150,0,23,0,380.0,3220.0,3704.0,10483.0,-97.4461455087387,2587.34,467.0559114281715,0.18051586240237907,12.533157348632812,1.0,True,
1,100,130,500,300,0,150,0,23,0,387.0,2381.0,3346.0,7770.0,545.8813168947294,2394.2,384.1658496014449,0.1604568747813236,11.586334228515625,1.0,True,
1,100,150,500,300,0,150,0,23,0,203.0,2921.0,3827.0,9783.0,-105.6259314456036,2861.5,385.6395856236753,0.13476833326006477,13.469833374023438,1.0,True,
1,150,30,500,300,0,150,0,23,0,6.0,108.0,121.0,96.0,-76.09741227475949,30.58,22.78603958567614,0.7451288288317901,-0.0005950927734375,0.5436241610738255,False,angle_not_monotonic
1,150,50,500,300,0,150,0,23,0,670.0,2918.0,3572.0,9490.0,144.5535835252677,2615.18,456.149347911405,0.17442369087841184,12.773101806640625,1.0,True,
1,150,70,500,300,0,150,0,23,0,281.0,3650.0,4866.0,11963.0,525.4233843652618,4080.22,362.83485444482864,0.08892531639098594,19.461334228515625,1.0,True,
1,150,90,500,300,0,150,0,23,0,397.0,4598.0,5428.0,15106.0,190.4349004199972,4689.12,355.58771857306886,0.07583250558165901,22.511245727539062,1.0,True,
1,150,110,500,300,0,150,0,23,0,281.0,4877.0,5503.0,15983.0,-716.6406990922637,4941.26,284.8581970033511,0.0576488986621532,23.913116455078125,1.0,True,
1,150,130,500,300,0,150,0,23,0,402.0,4732.0,5684.0,15460.0,117.82956238991984,4901.8,357.38578595126023,0.07290909175226656,23.657058715820312,1.0,True,
1,150,150,500,300,0,150,0,23,0,72.0,4708.0,5695.0,15556.0,475.9991871020189,4959.12,333.58103303395416,0.06726617485238393,23.395477294921875,1.0,True,
1,200,30,500,300,0,150,0,23,0,133.0,1525.0,2042.0,4686.0,-87.24427584338173,1291.92,280.13467047118604,0.2168359267378677,6.2389068603515625,1.0,True,
1,200,50,500,300,0,150,0,23,0,211.0,3609.0,3982.0,11743.0,-219.5739059748001,3042.14,370.2971784931665,0.12172259609786745,14.660476684570312,1.0,True,
1,200,70,500,300,0,150,0,23,0,464.0,4803.0,5310.0,15710.0,-400.29467551822245,4627.04,351.1943598635946,0.07590043739920006,22.421249389648438,1.0,True,
1,200,90,500,300,0,150,0,24,0,571.0,5664.0,6672.0,18310.0,244.00487738788783,5826.18,339.58938087048597,0.058286798703522026,28.006820678710938,1.0,True,
1,200,110,500,300,0,150,0,25,0,436.0,6037.0,7439.0,19643.0,329.5827123695975,6674.96,407.51583821981694,0.06105142775684303,31.741378784179688,1.0,True,
1,200,130,500,300,0,150,0,26,0,638.0,6817.0,7917.0,22106.0,239.10716705053494,6965.18,396.37632068528006,0.05690826664713332,33.372650146484375,1.0,True,
1,200,150,500,300,0,150,0,27,0,136.0,6166.0,8033.0,20490.0,686.5871833084944,7137.64,489.2585721272546,0.06854626629071438,33.60548400878906,1.0,True,
1,250,30,500,300,0,150,0,28,0,357.0,7.0,2246.0,160.0,-3089.344262295083,18.62,13.608659008146248,0.7308624601582302,0.1291351318359375,0.5369127516778524,False,no_motion;angle_not_monotonic
1,250,50,500,300,0,150,0,29,0,742.0,26.0,2817.0,496.0,-3367.0606963826044,40.14,39.36140749515952,0.98060307661085,0.7538604736328125,0.5973154362416108,False,angle_not_monotonic
1,250,70,500,300,0,150,0,30,0,851.0,7835.0,8885.0,26800.0,31674.986451700323,8108.36,434.99024172962777,0.053647129842486985,-22.195816040039062,0.738255033557047,False,angle_not_monotonic
1,250,90,500,300,0,150,0,31,0,755.0,7045.0,7885.0,23830.0,3400.8908007045084,6692.6,489.1437825425158,0.0730872579479598,-28.282669067382812,0.9194630872483222,True,
1,250,110,500,300,0,150,0,32,0,663.0,10.0,7125.0,206.0,-3144.4485842026797,16.22,12.841012421144994,0.791677707838779,3.6713714599609375,0.5771812080536913,False,no_motion;angle_not_monotonic
