duty,hold_index,transition_index,from_step,target_step,sample_index,sample_time_ms,status_step,transition_count,x,y,z,angle_turn16,duty_reported,flags,faults,retry_count
10,0,-1,-1,0,0,4.764,0,566,13280,-21240,-5272,0,10,16,0,0
10,0,-1,-1,0,1,60.697,0,566,13272,-21232,-5320,0,10,16,0,0
10,0,-1,-1,0,2,121.0,0,566,13288,-21240,-5344,0,10,16,0,0
10,0,-1,-1,0,3,180.538,0,566,13312,-21208,-5344,0,10,16,0,0
10,0,-1,-1,0,4,235.756,0,566,13304,-21208,-5328,0,10,16,0,0
10,0,-1,-1,0,5,293.26,0,566,13320,-21248,-5368,0,10,16,0,0
10,1,0,0,1,0,4.764,1,567,13304,-21232,-5272,10922,10,16,0,0
10,1,0,0,1,1,59.66,1,567,13216,-21208,-5296,10922,10,16,0,0
10,1,0,0,1,2,116.926,1,567,13312,-21224,-5352,10922,10,16,0,0
10,1,0,0,1,3,176.794,1,567,13344,-21256,-5336,10922,10,16,0,0
10,1,0,0,1,4,236.767,1,567,13280,-21280,-5344,10922,10,16,0,0
10,1,0,0,1,5,296.876,1,567,13272,-21240,-5296,10922,10,16,0,0
10,2,1,1,2,0,4.644,2,568,13312,-21160,-5304,21845,10,16,0,0
10,2,1,1,2,1,64.528,2,568,13240,-21176,-5320,21845,10,16,0,0
10,2,1,1,2,2,120.244,2,568,13256,-21152,-5352,21845,10,16,0,0
10,2,1,1,2,3,178.064,2,568,13328,-21224,-5312,21845,10,16,0,0
10,2,1,1,2,4,238.097,2,568,13296,-21208,-5320,21845,10,16,0,0
10,2,1,1,2,5,298.1,2,568,13272,-21216,-5328,21845,10,16,0,0
10,3,2,2,3,0,4.75,3,569,13304,-21160,-5304,32768,10,16,0,0
10,3,2,2,3,1,64.69,3,569,13288,-21232,-5280,32768,10,16,0,0
10,3,2,2,3,2,124.669,3,569,13240,-21184,-5296,32768,10,16,0,0
10,3,2,2,3,3,184.68,3,569,13264,-21224,-5304,32768,10,16,0,0
10,3,2,2,3,4,244.548,3,569,13304,-21216,-5352,32768,10,16,0,0
10,3,2,2,3,5,304.494,3,569,13264,-21192,-5288,32768,10,16,0,0
