duty,status,fail_transition,net_deg,expected_deg,mean_step_deg,median_step_deg,std_step_deg,min_step_deg,max_step_deg,mean_hold_spread_deg,max_hold_spread_deg,good_steps,reverse_steps,big_jumps,clip_samples,sensor_ok_samples,x_clip,y_clip,z_clip,z_mean,z_std
10,ok,-1,378.26260076187054,720.0,5.253647232803758,-6.435572355232466,96.46641153166023,-178.13813882533077,174.70202337972262,148.8878730996159,179.29598199825688,1,36,62,0,438,0,0,0,-5319.908675799087,31.874051047991408
20,ok,-1,852.5308148396776,720.0,11.840705761662187,5.529710043475312,101.68916961120243,-174.27666235211632,177.7320733984224,147.85854220344996,179.66834151225862,4,34,61,0,438,0,0,0,-5315.835616438356,32.94786820327761
30,ok,-1,75.32970216427869,720.0,1.0462458633927594,2.165894678099214,85.35360574762936,-178.00259699550838,161.8112957933138,105.49434449849954,179.4108104549132,1,34,59,0,438,0,0,0,-5310.703196347032,31.8064715682042
40,ok,-1,366.8743565341505,720.0,5.0954771740854214,-1.1357493535566334,95.33261561348115,-179.30039262998162,179.65869566363676,57.81872592158196,179.31556189522917,7,27,37,0,438,0,0,0,-5306.429223744292,41.78416235367583
50,fail,18,362.03153032718274,180.0,20.112862795954598,10.287468868745663,96.65026212144387,-176.9263945982119,172.46344469038053,42.58553704750937,179.03764518686182,4,6,6,0,114,0,0,0,-5290.526315789473,52.85734036334255
60,ok,-1,2166.81360838732,720.0,30.094633449823885,3.9429850951540857,96.04268510188332,-178.7426357210079,179.2991289936059,42.40563783638687,179.4044572603555,14,15,24,0,438,0,0,0,-5295.269406392694,74.99635014019566
70,ok,-1,-721.4689980382711,720.0,-10.020402750531543,-0.9574394953520695,100.80296645317415,-179.13293678185562,179.606880340344,40.560188261764665,179.96887929602804,6,23,24,0,438,0,0,0,-5289.24200913242,106.35166473260855
80,fail,14,182.07727011385822,140.0,13.005519293847017,0.6441040867990182,105.64884721703964,-178.8285406294886,179.28204964499815,24.904422093854784,174.64295573506678,0,2,5,0,90,0,0,0,-5297.777777777777,120.58392907273044
90,ok,-1,-361.0677753338774,720.0,-5.014830212970521,0.20538675157621356,101.990115078708,-179.81414252235135,179.76307582384288,43.239848779045865,179.90665975986587,3,17,24,0,438,0,0,0,-5307.086757990867,181.1628767348349
100,fail,61,202.28644315186034,610.0,3.316171199210825,9.004865987985575,65.91424858950178,-164.42221180068236,90.16035860850474,39.45219999538701,163.14805306865443,16,8,26,0,372,0,0,0,-2416.6021505376343,2937.536321037534
110,ok,-1,720.068485644319,720.0,10.00095118950443,8.090066588064175,8.447480648567515,1.813412091522423,37.65761432198508,8.725145901919262,37.650441658126056,32,0,8,0,438,0,0,0,-748.6392694063927,5242.411640696742
120,ok,-1,719.975777875834,720.0,9.999663581608806,8.501474258431983,7.657084280966748,1.8909312851758386,34.55351986311166,8.81035365462993,39.955232342443196,34,0,6,0,438,0,0,0,-711.7808219178082,5210.809666128528
130,ok,-1,720.114280929422,720.0,10.001587235130861,8.522031128041107,7.554722375997273,1.9492806526441768,33.833328541021956,8.287239934436041,29.23876476174638,39,0,8,0,438,0,0,0,-686.4109589041096,5228.455919430938
140,fail,-1,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
150,ok,-1,-109.0233143498509,720.0,-1.5142126993034841,-3.3530467866814746,107.81265759876243,-179.61017648231598,174.58653932272847,151.35105719431846,179.9811692308648,4,36,63,0,438,0,0,0,-913.3881278538813,5145.860331177568
