index,step_index,sweep_dir,direction,rotation,x,y,z,xy_radius,sample_spread,duty
0,0,0,forward,0,9032,18380,32043,22896,192,100
1,1,0,forward,0,5887,21871,32666,24814,268,100
2,2,0,forward,0,4101,23328,32674,25378,188,100
3,3,0,forward,0,1976,24131,32658,25119,196,100
4,4,0,forward,0,-2545,24783,32672,65535,192,100
5,5,0,forward,0,-4305,24243,32658,65535,232,100
6,6,0,forward,0,-6226,23509,32666,65535,192,100
7,7,0,forward,0,-10034,19674,32666,65535,172,100
8,8,0,forward,0,-11288,17845,30722,65535,224,100
9,9,0,forward,0,-12368,15306,26951,65535,264,100
10,10,0,forward,0,-13916,9621,16736,65535,172,100
11,11,0,forward,0,-14309,6343,11518,65535,172,100
12,12,0,forward,0,-14391,3412,5977,65535,188,100
13,13,0,forward,0,-14045,-2851,-3862,65535,176,100
14,14,0,forward,0,-13656,-5450,-8545,65535,200,100
15,15,0,forward,0,-13064,-8783,-13581,65535,244,100
16,16,0,forward,0,-11047,-14469,-23625,65535,152,100
17,17,0,forward,0,-9978,-16746,-27046,65535,204,100
18,18,0,forward,0,-8503,-18715,-30953,65535,216,100
19,19,0,forward,0,-4880,-22401,-32328,65535,156,100
20,20,0,forward,0,-3325,-23229,-32324,65535,184,100
21,21,0,forward,0,-1840,-24127,-32326,65535,140,100
22,22,0,forward,0,1829,-24471,-32312,65535,140,100
23,23,0,forward,0,3798,-24273,-32318,65535,212,100
24,24,0,forward,0,5725,-23184,-32312,65535,200,100
25,25,0,forward,0,9056,-20608,-32312,65535,168,100
26,26,0,forward,0,10391,-18650,-30987,65535,260,100
27,27,0,forward,0,11600,-16464,-26676,65535,188,100
28,28,0,forward,0,13447,-10763,-17516,65535,200,100
29,29,0,forward,0,13897,-8459,-13246,65535,148,100
30,30,0,forward,0,14325,-5345,-8380,65535,220,100
31,31,0,forward,0,14448,1393,3699,15144,188,100
32,32,0,forward,0,14110,4411,8506,16315,204,100
33,33,0,forward,0,13609,6965,13398,17091,176,100
34,34,0,forward,0,11792,13087,23164,18983,220,100
35,35,0,forward,0,10520,15617,27812,20877,172,100
36,0,0,forward,1,7600,20377,32600,24177,184,100
37,1,0,forward,1,5828,21950,32598,24864,272,100
38,2,0,forward,1,4107,23362,32598,25415,208,100
39,3,0,forward,1,-367,24706,32592,65535,168,100
40,4,0,forward,1,-2602,24818,32592,65535,164,100
41,5,0,forward,1,-4319,24250,32592,65535,200,100
42,6,0,forward,1,-6260,23574,32592,65535,188,100
43,7,0,forward,1,-10077,19740,32588,65535,216,100
44,8,0,forward,1,-11331,17815,30664,65535,252,100
45,9,0,forward,1,-12381,15345,26935,65535,208,100
46,10,0,forward,1,-13948,9614,16699,65535,268,100
47,11,0,forward,1,-14309,6354,11500,65535,164,100
48,12,0,forward,1,-14415,3425,5982,65535,200,100
49,13,0,forward,1,-14036,-2849,-3901,65535,216,100
50,14,0,forward,1,-13657,-5472,-8571,65535,132,100
51,15,0,forward,1,-12166,-11961,-18869,65535,252,100
52,16,0,forward,1,-11013,-14542,-23742,65535,164,100
53,17,0,forward,1,-10006,-16719,-27045,65535,240,100
54,18,0,forward,1,-8535,-18681,-30959,65535,248,100
55,19,0,forward,1,-4903,-22447,-32236,65535,184,100
56,20,0,forward,1,-3332,-23279,-32238,65535,240,100
57,21,0,forward,1,-1857,-24137,-32236,65535,184,100
58,22,0,forward,1,1844,-24525,-32234,65535,192,100
59,23,0,forward,1,3806,-24301,-32220,65535,232,100
60,24,0,forward,1,5749,-23286,-32226,65535,184,100
61,25,0,forward,1,9081,-20628,-32218,65535,168,100
62,26,0,forward,1,10394,-18702,-31056,65535,140,100
63,27,0,forward,1,11641,-16507,-26698,65535,220,100
64,28,0,forward,1,13456,-10722,-17477,65535,204,100
65,29,0,forward,1,13925,-8454,-13255,65535,184,100
66,30,0,forward,1,14311,-5390,-8465,65535,188,100
67,31,0,forward,1,14449,1429,3755,15163,148,100
68,32,0,forward,1,14140,4426,8518,16353,240,100
69,33,0,forward,1,13618,6965,13370,17100,180,100
70,34,0,forward,1,11774,13088,23195,18975,232,100
71,35,0,forward,1,10511,15669,27859,20924,164,100
72,0,0,forward,2,7581,20358,32498,24148,200,100
73,1,0,forward,2,5804,21979,32496,24881,200,100
74,2,0,forward,2,4086,23322,32500,25365,164,100
75,3,0,forward,2,-418,24702,32498,65535,252,100
76,4,0,forward,2,-2621,24838,32496,65535,236,100
77,5,0,forward,2,-4317,24278,32492,65535,136,100
78,6,0,forward,2,-6238,23491,32494,65535,196,100
79,7,0,forward,2,-10090,19671,32492,65535,228,100
80,8,0,forward,2,-11303,17785,30619,65535,216,100
81,9,0,forward,2,-12354,15331,26928,65535,216,100
82,10,0,forward,2,-13934,9613,16651,65535,224,100
83,11,0,forward,2,-14301,6340,11486,65535,188,100
84,12,0,forward,2,-14377,3468,6067,65535,180,100
85,13,0,forward,2,-14047,-2879,-3899,65535,196,100
86,14,0,forward,2,-13650,-5439,-8529,65535,212,100
87,15,0,forward,2,-12120,-11972,-18842,65535,216,100
88,16,0,forward,2,-11043,-14505,-23626,65535,152,100
89,17,0,forward,2,-9997,-16724,-26990,65535,204,100
90,18,0,forward,2,-8511,-18681,-30893,65535,216,100
91,19,0,forward,2,-4882,-22422,-32142,65535,192,100
92,20,0,forward,2,-3339,-23229,-32136,65535,212,100
93,21,0,forward,2,-1837,-24124,-32136,65535,184,100
94,22,0,forward,2,1880,-24484,-32134,65535,180,100
95,23,0,forward,2,3808,-24292,-32130,65535,168,100
96,24,0,forward,2,5720,-23282,-32118,65535,192,100
97,25,0,forward,2,9113,-20614,-32122,65535,256,100
98,26,0,forward,2,10396,-18651,-30912,65535,204,100
99,27,0,forward,2,12695,-13684,-21917,65535,252,100
100,28,0,forward,2,13426,-10725,-17451,65535,188,100
101,29,0,forward,2,13901,-8478,-13266,65535,180,100
102,30,0,forward,2,14319,-5378,-8442,65535,128,100
103,31,0,forward,2,14449,1389,3712,15143,184,100
104,32,0,forward,2,14113,4418,8506,16322,192,100
105,33,0,forward,2,13584,6913,13334,17040,208,100
106,34,0,forward,2,11739,13105,23208,18974,212,100
107,35,0,forward,2,10532,15594,27788,20860,184,100
108,35,1,reverse,3,10533,15583,27787,20849,164,100
109,34,1,reverse,3,11754,13117,23228,18994,144,100
110,33,1,reverse,3,12807,9889,18465,17751,224,100
111,32,1,reverse,3,14112,4371,8533,16297,228,100
112,31,1,reverse,3,14429,1406,3823,15132,184,100
113,30,1,reverse,3,14309,-5406,-8384,65535,272,100
114,29,1,reverse,3,13876,-8508,-13143,65535,184,100
115,28,1,reverse,3,13438,-10764,-17350,65535,192,100
116,27,1,reverse,3,12674,-13687,-21817,65535,184,100
117,26,1,reverse,3,10370,-18652,-30814,65535,204,100
118,25,1,reverse,3,9050,-20632,-32074,65535,156,100
119,24,1,reverse,3,7454,-22032,-32068,65535,204,100
120,23,1,reverse,3,3756,-24250,-32070,65535,224,100
121,22,1,reverse,3,1830,-24431,-32058,65535,196,100
122,21,1,reverse,3,-35,-24589,-32064,65535,192,100
123,20,1,reverse,3,-3359,-23150,-32056,65535,180,100
124,19,1,reverse,3,-4910,-22386,-32060,65535,220,100
125,18,1,reverse,3,-8552,-18566,-30887,65535,264,100
126,17,1,reverse,3,-10038,-16652,-27062,65535,164,100
127,16,1,reverse,3,-11055,-14454,-23682,65535,144,100
128,15,1,reverse,3,-12146,-11910,-18897,65535,220,100
129,14,1,reverse,3,-13646,-5385,-8604,65535,244,100
130,13,1,reverse,3,-14039,-2833,-4034,65535,176,100
131,12,1,reverse,3,-14305,499,992,65535,204,100
132,11,1,reverse,3,-14242,6341,11338,65535,280,100
133,10,1,reverse,3,-13873,9601,16510,65535,252,100
134,9,1,reverse,3,-13208,12365,21847,65535,184,100
135,8,1,reverse,3,-11254,17722,30377,65535,276,100
136,7,1,reverse,3,-10012,19588,32358,65535,236,100
137,6,1,reverse,3,-6119,23453,32358,65535,224,100
138,5,1,reverse,3,-4203,24171,32356,65535,168,100
139,4,1,reverse,3,-2540,24701,32348,65535,196,100
140,3,1,reverse,3,-402,24625,32338,65535,132,100
141,2,1,reverse,3,4112,23161,32340,25217,192,100
142,1,1,reverse,3,5817,21833,32340,24741,164,100
143,0,1,reverse,3,7578,20296,32344,24085,216,100
144,35,1,reverse,4,10523,15574,27867,20835,252,100
145,34,1,reverse,4,11772,13036,23255,18922,176,100
146,33,1,reverse,4,12781,9970,18633,17766,208,100
147,32,1,reverse,4,14121,4354,8553,16298,188,100
148,31,1,reverse,4,14429,1347,3806,15102,192,100
149,30,1,reverse,4,14284,-5433,-8390,65535,316,100
150,29,1,reverse,4,13833,-8478,-13075,65535,188,100
151,28,1,reverse,4,13417,-10761,-17282,65535,164,100
152,27,1,reverse,4,12636,-13648,-21782,65535,176,100
153,26,1,reverse,4,10339,-18606,-30776,65535,188,100
154,25,1,reverse,4,9058,-20612,-32004,65535,192,100
155,24,1,reverse,4,7464,-21982,-31996,65535,184,100
156,23,1,reverse,4,3770,-24225,-31994,65535,168,100
157,22,1,reverse,4,1836,-24435,-31994,65535,252,100
158,21,1,reverse,4,-40,-24535,-31992,65535,204,100
159,20,1,reverse,4,-3354,-23193,-31990,65535,280,100
160,19,1,reverse,4,-4912,-22370,-31988,65535,168,100
161,18,1,reverse,4,-7238,-20074,-31986,65535,184,100
162,17,1,reverse,4,-9994,-16624,-27016,65535,184,100
163,16,1,reverse,4,-11032,-14411,-23646,65535,172,100
164,15,1,reverse,4,-12113,-11926,-18925,65535,264,100
165,14,1,reverse,4,-13631,-5389,-8608,65535,192,100
166,13,1,reverse,4,-14010,-2833,-3965,65535,240,100
167,12,1,reverse,4,-14255,461,933,65535,224,100
168,11,1,reverse,4,-14207,6366,11386,65535,280,100
169,10,1,reverse,4,-13858,9521,16410,65535,228,100
170,9,1,reverse,4,-13162,12445,21947,65535,156,100
171,8,1,reverse,4,-11209,17687,30402,65535,216,100
172,7,1,reverse,4,-9991,19528,32296,65535,196,100
173,6,1,reverse,4,-6115,23420,32282,65535,156,100
174,5,1,reverse,4,-4233,24115,32282,65535,212,100
175,4,1,reverse,4,-2616,24615,32276,65535,228,100
176,3,1,reverse,4,-453,24570,32282,65535,208,100
