index,step_index,sweep_dir,direction,rotation,x,y,z,xy_radius,sample_spread,duty
0,0,0,forward,,8071,19705,32380,23740,192,100
1,1,0,forward,,5840,21933,32587,24853,247,100
2,2,0,forward,,4098,23337,32591,25386,187,100
3,3,0,forward,,397,24513,32583,52063,205,100
4,4,0,forward,,-2589,24813,32587,65535,197,100
5,5,0,forward,,-4314,24257,32581,65535,189,100
6,6,0,forward,,-6241,23525,32584,65535,192,100
7,7,0,forward,,-10067,19695,32582,65535,205,100
8,8,0,forward,,-11307,17815,30668,65535,231,100
9,9,0,forward,,-12368,15327,26938,65535,229,100
10,10,0,forward,,-13933,9616,16695,65535,221,100
11,11,0,forward,,-14306,6346,11501,65535,175,100
12,12,0,forward,,-14394,3435,6009,65535,189,100
13,13,0,forward,,-14043,-2860,-3887,65535,196,100
14,14,0,forward,,-13654,-5454,-8548,65535,181,100
15,15,0,forward,,-12450,-10905,-17097,65535,237,100
16,16,0,forward,,-11034,-14505,-23664,65535,156,100
17,17,0,forward,,-9994,-16730,-27027,65535,216,100
18,18,0,forward,,-8516,-18692,-30935,65535,227,100
19,19,0,forward,,-4888,-22423,-32235,65535,177,100
20,20,0,forward,,-3332,-23246,-32233,65535,212,100
21,21,0,forward,,-1845,-24129,-32233,65535,169,100
22,22,0,forward,,1851,-24493,-32227,65535,171,100
23,23,0,forward,,3804,-24289,-32223,65535,204,100
24,24,0,forward,,5731,-23251,-32219,65535,192,100
25,25,0,forward,,9083,-20617,-32217,65535,197,100
26,26,0,forward,,10394,-18668,-30985,65535,201,100
27,27,0,forward,,11979,-15552,-25097,65535,220,100
28,28,0,forward,,13443,-10737,-17481,65535,197,100
29,29,0,forward,,13908,-8464,-13256,65535,171,100
30,30,0,forward,,14318,-5371,-8429,65535,179,100
31,31,0,forward,,14449,1404,3722,15150,173,100
32,32,0,forward,,14121,4418,8510,16330,212,100
33,33,0,forward,,13604,6948,13367,17077,188,100
34,34,0,forward,,11768,13093,23189,18977,221,100
35,35,0,forward,,10521,15627,27820,20887,173,100
36,35,1,reverse,,10527,15564,27815,20827,207,100
37,34,1,reverse,,11765,13048,23226,18930,188,100
38,33,1,reverse,,12784,9935,18569,17751,229,100
39,32,1,reverse,,14111,4353,8550,16287,212,100
40,31,1,reverse,,14422,1373,3814,15108,200,100
41,30,1,reverse,,14293,-5419,-8369,65535,279,100
42,29,1,reverse,,13859,-8498,-13108,65535,189,100
43,28,1,reverse,,13422,-10764,-17301,65535,176,100
44,27,1,reverse,,12648,-13661,-21762,65535,189,100
45,26,1,reverse,,10350,-18625,-30779,65535,209,100
46,25,1,reverse,,9053,-20596,-32002,65535,188,100
47,24,1,reverse,,7454,-21988,-31997,65535,203,100
48,23,1,reverse,,3768,-24212,-31995,65535,207,100
49,22,1,reverse,,1833,-24417,-31991,65535,212,100
50,21,1,reverse,,-33,-24545,-31993,65535,205,100
51,20,1,reverse,,-3354,-23152,-31989,65535,211,100
52,19,1,reverse,,-4904,-22351,-31989,65535,216,100
53,18,1,reverse,,-8098,-19064,-31208,65535,235,100
54,17,1,reverse,,-10001,-16619,-27008,65535,180,100
55,16,1,reverse,,-11031,-14413,-23633,65535,176,100
56,15,1,reverse,,-12106,-11916,-18894,65535,220,100
57,14,1,reverse,,-13616,-5384,-8584,65535,237,100
58,13,1,reverse,,-14013,-2830,-3996,65535,209,100
59,12,1,reverse,,-14260,473,962,65535,235,100
60,11,1,reverse,,-14210,6342,11347,65535,279,100
61,10,1,reverse,,-13840,9557,16458,65535,205,100
62,9,1,reverse,,-13165,12399,21869,65535,175,100
63,8,1,reverse,,-11223,17684,30337,65535,241,100
64,7,1,reverse,,-9984,19552,32291,65535,201,100
65,6,1,reverse,,-6726,22956,32287,65535,185,100
66,5,1,reverse,,-4226,24107,32283,65535,191,100
67,4,1,reverse,,-2582,24637,32281,65535,213,100
68,3,1,reverse,,-423,24564,32277,65535,179,100
69,2,1,reverse,,4097,23153,32277,25201,245,100
70,1,1,reverse,,5823,21796,32275,24707,160,100
71,0,1,reverse,,7548,20257,32275,24030,215,100
