time,magx,magy,step_count
0.00130108,12477,-22758,63
0.0110035,13664,-19340,63
0.0209334,13213,-20875,63
0.0309605,13508,-19944,63
0.0409578,13402,-20298,63
0.0509089,13527,-19866,63
0.0609297,13414,-20156,63
0.0708921,13474,-20063,63
0.0808764,13484,-20011,63
0.0909463,13465,-20078,63
0.10097,13496,-20073,63
0.110917,13482,-20051,63
0.120814,13471,-20050,63
0.13093,13481,-20085,63
0.140936,13470,-20065,63
0.150932,13476,-20054,63
0.160914,13470,-20055,63
0.170892,13585,-19676,64
0.180984,14813,-13931,64
0.190939,13964,-17186,64
0.200921,14583,-15394,64
0.210943,14251,-17121,64
0.220901,14603,-15382,64
0.230936,14370,-16489,64
0.240938,14498,-15920,64
0.250937,14453,-16190,64
0.260954,14479,-16076,64
0.270806,14463,-16080,64
0.280978,14457,-16122,64
0.290788,14476,-16076,64
0.300777,14460,-16090,64
0.310908,14465,-16108,64
0.320811,14465,-16103,64
0.330938,14453,-16084,64
0.34095,14463,-16107,64
0.350943,14454,-16106,64
0.360863,14457,-16090,64
0.370777,14596,-15682,65
0.380922,15392,-11500,65
0.390728,14992,-13062,65
0.400934,15198,-11853,65
0.410935,14982,-13460,65
0.420787,15149,-12132,65
0.430916,14978,-13296,65
0.440945,15082,-12791,65
0.450668,15043,-12887,65
0.460746,15044,-12903,65
0.470838,15043,-12826,65
0.480818,15032,-12880,65
0.490859,15056,-12869,65
0.500888,15065,-12863,65
0.510895,15043,-12871,65
0.52077,15054,-12874,65
0.530902,15034,-12878,65
0.540915,15038,-12875,65
0.550932,15029,-12868,65
0.560824,15058,-12870,65
0.570835,15178,-9793,66
0.580913,15722,-1549,66
0.590922,15413,-9804,66
0.600783,15650,-6243,66
0.610933,15768,-3312,66
0.620907,15685,-5699,66
0.630917,15518,-7955,66
0.640977,15546,-7920,66
0.650893,15512,-8340,66
0.660792,15539,-8068,66
0.67074,15496,-8295,66
0.6809,15514,-8170,66
0.690916,15505,-8193,66
0.700875,15508,-8223,66
0.710721,15522,-8216,66
0.720901,15499,-8202,66
0.730904,15513,-8207,66
0.74089,15501,-8215,66
0.7509,15514,-8199,66
0.760891,15527,-8202,66
0.770799,15762,-5297,67
0.780956,15400,4578,67
0.790713,15823,-3367,67
0.800931,15590,2537,67
0.81093,15780,-1772,67
0.820805,15661,1760,67
0.830961,15747,-16,67
0.840963,15696,780,67
0.850909,15740,166,67
0.860954,15720,737,67
0.870809,15707,471,67
0.880956,15734,505,67
0.89095,15748,603,67
0.900962,15734,541,67
0.910963,15720,524,67
0.920834,15731,543,67
0.930977,15724,547,67
0.940939,15710,541,67
0.950772,15731,545,67
0.960892,15706,541,67
0.970722,15512,4080,68
0.980898,15388,5750,68
0.990729,15519,4005,68
1.00096,15319,6172,68
1.01101,15616,4085,68
1.0208,15384,5616,68
1.03086,15503,4488,68
1.04078,15462,5089,68
1.05081,15485,4799,68
1.06094,15463,4979,68
1.07094,15469,4889,68
1.08087,15476,4885,68
1.09094,15473,4902,68
1.10078,15481,4908,68
1.11095,15488,4897,68
1.12075,15470,4898,68
1.13072,15459,4912,68
1.14073,15476,4908,68
1.15076,15469,4907,68
1.16097,15476,4914,68
1.17088,14970,8631,69
1.18094,13744,15109,69
1.19078,15167,7296,69
1.20095,14531,11983,69
1.21092,14074,13565,69
1.2208,14373,12067,69
1.23099,14316,12331,69
1.24095,14203,12859,69
1.25094,14267,12633,69
1.26095,14249,12762,69
1.27078,14254,12695,69
1.28093,14245,12732,69
1.2909,14268,12737,69
1.30095,14222,12736,69
1.31093,14242,12732,69
1.32091,14233,12721,69
1.33094,14227,12726,69
1.34093,14239,12727,69
1.35095,14236,12729,69
1.36096,14241,12712,69
1.37085,13347,16580,70
1.38095,13212,17403,70
1.39077,13155,17324,70
1.40089,13222,16258,70
1.41097,13078,18000,70
1.4208,13325,17100,70
1.43089,13244,17409,70
1.44092,13312,17225,70
1.45097,13262,17407,70
1.46094,13300,17254,70
1.47075,13264,17277,70
1.48091,13276,17312,70
1.49087,13296,17298,70
1.50099,13271,17287,70
1.51088,13271,17294,70
1.52091,13273,17291,70
1.53084,13275,17280,70
1.54096,13263,17284,70
1.55092,13279,17290,70
1.56099,13276,17286,70
1.57079,11990,20876,71
1.5809,11733,21741,71
1.59074,11963,22520,71
1.60084,11996,21065,71
1.61093,11992,21088,71
1.62081,11510,22248,71
1.63101,11943,21158,71
1.64081,11652,21901,71
1.65092,11795,21594,71
1.66093,11749,21715,71
1.6707,11743,21680,71
1.68084,11752,21651,71
1.69086,11728,21674,71
1.7009,11773,21681,71
1.71081,11731,21678,71
1.72074,11719,21676,71
1.73079,11744,21668,71
1.74088,11760,21669,71
1.75079,11734,21666,71
1.76088,11737,21664,71
1.7708,10216,25183,72
1.78074,7893,27948,72
1.79075,10987,23574,72
1.80097,9499,26703,72
1.81099,8191,28733,72
1.82093,8879,27781,72
1.83097,8365,28526,72
1.84092,8665,28262,72
1.85093,8579,28262,72
1.86102,8510,28333,72
1.8707,8552,28258,72
1.88091,8544,28269,72
1.89068,8550,28296,72
1.90093,8556,28305,72
1.91094,8528,28273,72
1.92076,8547,28276,72
1.93097,8539,28281,72
1.94079,8547,28279,72
1.95074,8543,28282,72
1.96093,8556,28296,72
1.97067,6835,31703,73
1.98093,7582,29583,73
1.99073,6359,31026,73
2.00097,6928,30421,73
2.01079,6973,30333,73
2.02073,6670,30729,73
2.03087,7022,30409,73
2.04074,6882,30458,73
2.05096,6880,30479,73
2.06089,6916,30430,73
2.07076,6885,30458,73
2.08094,6899,30457,73
2.09074,6889,30442,73
2.10094,6873,30444,73
2.11077,6893,30441,73
2.12075,6875,30447,73
2.1309,6896,30466,73
2.14077,6892,30458,73
2.15093,6893,30446,73
2.16092,6879,30456,73
2.17073,3250,32608,74
2.18088,5878,31775,74
2.19077,3615,32608,74
2.20096,5402,32306,74
2.21085,4187,32608,74
2.2208,4952,32607,74
2.23092,4449,32640,74
2.24076,4796,32608,74
2.25094,4594,32608,74
2.26081,4697,32608,74
2.27077,4688,32608,74
2.2808,4648,32608,74
2.29071,4696,32608,74
2.30095,4686,32640,74
2.31098,4668,32608,74
2.32081,4676,32608,74
2.33094,4674,32608,74
2.34074,4682,32608,74
2.35095,4680,32608,74
2.36079,4676,32608,75
2.37081,825,32608,75
2.38105,721,32608,75
2.39081,3421,32608,75
2.40086,1172,32608,75
2.41094,1,32608,75
2.42073,637,32608,75
2.43087,250,32608,75
2.44079,358,32608,75
2.45094,379,32608,75
2.46094,280,32608,75
2.47072,370,32608,75
2.48086,353,32608,75
2.49075,349,32608,75
2.50105,354,32608,75
2.51095,338,32608,75
2.5208,340,32640,75
2.5309,336,32608,75
2.54082,336,32608,75
2.55096,332,32608,75
2.56092,339,32608,76
2.57079,-3208,32608,76
2.58097,-644,32608,76
2.59073,-2675,32608,76
2.60104,-1464,32608,76
2.61095,-2305,32608,76
2.62079,-1890,32608,76
2.63095,-1990,32608,76
2.64071,-2009,32608,76
2.65083,-1996,32608,76
2.66076,-1978,32608,76
2.67079,-2000,32608,76
2.68075,-1998,32608,76
2.69077,-2002,32608,76
2.70091,-2005,32608,76
2.71095,-2007,32608,76
2.7208,-1999,32608,76
2.73094,-1994,32608,76
2.74076,-2016,32608,76
2.75103,-1997,32608,76
2.76074,-1995,32608,77
2.77079,-5677,32608,77
2.78078,-2983,32608,77
2.79085,-5021,32608,77
2.80081,-3563,32608,77
2.81093,-4511,32608,77
2.82081,-3740,32608,77
2.83102,-4096,32608,77
2.84076,-3880,32608,77
2.85103,-4020,32608,77
2.86086,-3936,32608,77
2.87074,-3960,32608,77
2.8808,-3973,32608,77
2.89077,-3953,32608,77
2.90084,-3969,32608,77
2.9109,-3964,32608,77
2.92072,-3965,32608,77
2.93089,-3955,32608,77
2.94082,-3962,32608,77
2.95093,-3970,32608,77
2.96091,-3968,32608,78
2.9708,-8536,32600,78
2.98088,-8036,32608,78
2.99075,-5657,32608,78
