time,magx,magy,step_count,step_mod6
0.13093,13481,-20085,63,27
0.140936,13470,-20065,63,27
0.300777,14460,-16090,64,28
0.310908,14465,-16108,64,28
0.490859,15056,-12869,65,29
0.500888,15065,-12863,65,29
0.510895,15043,-12871,65,29
0.690916,15505,-8193,66,30
0.700875,15508,-8223,66,30
0.710721,15522,-8216,66,30
0.89095,15748,603,67,31
0.900962,15734,541,67,31
0.910963,15720,524,67,31
1.09094,15473,4902,68,32
1.10078,15481,4908,68,32
1.11095,15488,4897,68,32
1.2909,14268,12737,69,33
1.30095,14222,12736,69,33
1.31093,14242,12732,69,33
1.49087,13296,17298,70,34
1.50099,13271,17287,70,34
1.51088,13271,17294,70,34
1.69086,11728,21674,71,35
1.7009,11773,21681,71,35
1.71081,11731,21678,71,35
1.90093,8556,28305,72,0
1.91094,8528,28273,72,0
2.09074,6889,30442,73,1
2.10094,6873,30444,73,1
2.11077,6893,30441,73,1
2.30095,4686,32640,74,2
2.31098,4668,32608,74,2
2.48086,353,32608,75,3
2.49075,349,32608,75,3
2.50105,354,32608,75,3
2.69077,-2002,32608,76,4
2.70091,-2005,32608,76,4
2.8808,-3973,32608,77,5
2.89077,-3953,32608,77,5
2.90084,-3969,32608,77,5
3.08102,-6433,32608,78,6
3.09074,-6457,32608,78,6
3.10103,-6439,32608,78,6
3.28106,-10739,30514,79,7
3.29083,-10705,30534,79,7
3.30104,-10750,30510,79,7
3.48087,-12394,27874,80,8
3.49086,-12398,27880,80,8
3.501,-12408,27878,80,8
3.69081,-14841,20726,81,9
3.70095,-14851,20717,81,9
3.89081,-15616,17133,82,10
3.90097,-15617,17149,82,10
4.09086,-16226,11801,83,11
4.10098,-16221,11801,83,11
4.29099,-16286,3192,84,12
4.30099,-16302,3207,84,12
4.49102,-16014,-893,85,13
4.50097,-16043,-895,85,13
4.68353,-15425,-5361,86,14
4.69256,-15398,-5369,86,14
4.70121,-15404,-5376,86,14
4.88099,-13599,-14140,87,15
4.891,-13572,-14120,87,15
4.901,-13569,-14144,87,15
5.08098,-12230,-17894,88,16
5.09101,-12219,-17906,88,16
5.10098,-12235,-17905,88,16
5.29095,-10875,-21182,89,17
5.30092,-10897,-21193,89,17
5.48096,-9069,-24310,90,18
5.49093,-9054,-24297,90,18
5.50091,-9076,-24325,90,18
5.68098,-5316,-29228,91,19
5.69097,-5321,-29236,91,19
5.70095,-5317,-29207,91,19
5.89096,-3501,-30589,92,20
5.90092,-3512,-30585,92,20
6.08096,116,-32272,93,21
6.09096,112,-32272,93,21
6.28099,1787,-32272,94,22
6.29091,1779,-32272,94,22
6.48094,3969,-32247,95,23
6.49078,3980,-32244,95,23
6.68104,5490,-31306,96,24
6.69079,5497,-31310,96,24
6.88092,8950,-28715,97,25
6.89077,8994,-28674,97,25
7.08084,10735,-26009,98,26
7.09076,10748,-26038,98,26
7.28098,13482,-20033,99,27
7.29089,13480,-20035,99,27
7.4808,10735,-26007,98,26
7.49092,10736,-26064,98,26
7.6709,8940,-28703,97,25
7.68092,8937,-28730,97,25
7.69086,8951,-28705,97,25
7.87089,7436,-29998,96,24
7.88095,7417,-30010,96,24
7.89093,7430,-30021,96,24
8.08093,3959,-32228,95,23
8.09073,3946,-32238,95,23
8.28089,1749,-32272,94,22
8.29086,1747,-32272,94,22
8.47088,-1768,-31780,93,21
8.48098,-1770,-31782,93,21
8.49095,-1800,-31769,93,21
8.68088,-3508,-30514,92,20
8.69078,-3519,-30515,92,20
8.88084,-5276,-29147,91,19
8.89077,-5266,-29138,91,19
9.08073,-9051,-24277,90,18
9.09071,-9036,-24272,90,18
9.28071,-10852,-21181,89,17
9.29074,-10855,-21168,89,17
9.48084,-12181,-17904,88,16
9.49085,-12187,-17882,88,16
9.67071,-13507,-14160,87,15
9.68086,-13523,-14104,87,15
9.87088,-15338,-5432,86,14
9.88094,-15358,-5358,86,14
10.0708,-15960,-903,85,13
10.0809,-15970,-937,85,13
10.261,-16246,3175,84,12
10.2709,-16235,3208,84,12
10.281,-16248,3161,84,12
10.4608,-16186,11682,83,11
10.4708,-16193,11775,83,11
10.4808,-16178,11767,83,11
10.6608,-15576,17061,82,10
10.6708,-15557,17102,82,10
10.6808,-15563,17128,82,10
10.861,-13713,24418,81,9
10.8709,-13680,24465,81,9
10.8808,-13698,24474,81,9
11.081,-12408,27779,80,8
11.0909,-12385,27789,80,8
11.2609,-10725,30428,79,7
11.2708,-10718,30450,79,7
11.2808,-10735,30463,79,7
11.4709,-6465,32608,78,6
11.4808,-6445,32608,78,6
11.6609,-3997,32608,77,5
11.6709,-3982,32608,77,5
11.6809,-3983,32608,77,5
11.8609,-2050,32608,76,4
11.8707,-2033,32608,76,4
11.8809,-2038,32608,76,4
12.0608,291,32608,75,3
12.0709,317,32608,75,3
12.0809,312,32608,75,3
12.2608,4642,32608,74,2
12.2708,4672,32608,74,2
12.281,4643,32608,74,2
12.4609,6835,30437,73,1
12.4707,6848,30416,73,1
12.4809,6842,30420,73,1
12.6608,8500,28263,72,0
12.6707,8539,28252,72,0
12.6809,8535,28240,72,0
12.861,11734,21631,71,35
12.8708,11698,21714,71,35
12.8808,11689,21681,71,35
13.0609,13258,17292,70,34
13.0707,13232,17302,70,34
13.0808,13228,17279,70,34
13.2609,14910,8859,69,33
13.2708,14895,8870,69,33
13.281,14899,8919,69,33
13.4709,15417,4942,68,32
13.4811,15413,4916,68,32
13.6509,15680,582,67,31
13.6609,15700,532,67,31
13.6707,15687,580,67,31
13.8509,15476,-8173,66,30
13.861,15479,-8194,66,30
13.8709,15490,-8181,66,30
14.0509,14995,-12840,65,29
14.0608,15020,-12851,65,29
14.0707,15012,-12814,65,29
14.251,14431,-16093,64,28
14.2609,14409,-16063,64,28
14.2709,14417,-16065,64,28
14.4509,13452,-19976,63,27
14.4609,13432,-20035,63,27
14.4709,13428,-20060,63,27
14.6509,10742,-25974,62,26
14.6607,10771,-25935,62,26
14.6709,10737,-25966,62,26
14.8509,8951,-28637,61,25
14.861,8972,-28640,61,25
14.8708,8985,-28640,61,25
15.051,7477,-29963,60,24
15.0608,7448,-29965,60,24
15.0707,7466,-29961,60,24
15.2609,3961,-32166,59,23
15.2708,3959,-32172,59,23
15.4509,1748,-32272,58,22
15.4608,1754,-32272,58,22
15.4709,1722,-32272,58,22
15.6608,-1773,-31705,57,21
15.6709,-1768,-31703,57,21
15.8608,-3491,-30563,56,20
15.8708,-3481,-30556,56,20
16.0509,-5257,-29237,55,19
16.0609,-5281,-29235,55,19
16.0709,-5283,-29230,55,19
16.2609,-8990,-24230,54,18
16.2709,-9027,-24220,54,18
16.4609,-10813,-21139,53,17
16.4709,-10824,-21117,53,17
16.6609,-12148,-17856,52,16
16.6707,-12157,-17858,52,16
16.851,-13516,-14049,51,15
16.861,-13504,-14082,51,15
16.8708,-13484,-14111,51,15
17.0509,-15365,-5395,50,14
17.0609,-15370,-5356,50,14
17.0707,-15367,-5390,50,14
17.251,-15960,-909,49,13
17.2609,-15977,-930,49,13
17.2708,-15967,-891,49,13
17.4408,-16256,3160,48,12
17.451,-16245,3194,48,12
17.4609,-16247,3149,48,12
17.641,-16194,11692,47,11
17.6509,-16184,11811,47,11
17.6609,-16188,11762,47,11
17.8509,-15551,17152,46,10
17.8609,-15574,17114,46,10
18.0407,-13709,24427,45,9
18.0508,-13702,24487,45,9
18.0609,-13709,24449,45,9
18.2409,-12376,27828,44,8
18.251,-12393,27813,44,8
18.2609,-12377,27797,44,8
18.4508,-10740,30482,43,7
18.461,-10734,30474,43,7
18.651,-6493,32608,42,6
18.6613,-6487,32608,42,6
18.841,-4046,32608,41,5
18.8508,-4016,32608,41,5
18.861,-4033,32608,41,5
19.0408,-2070,32608,40,4
19.0509,-2052,32608,40,4
19.0608,-2077,32608,40,4
19.251,325,32608,39,3
19.261,276,32608,39,3
19.4408,4636,32608,38,2
19.4509,4629,32608,38,2
19.4609,4606,32608,38,2
19.651,6844,30442,37,1
19.6609,6829,30450,37,1
19.851,8518,28171,36,0
19.861,8523,28150,36,0
20.0409,11693,21560,35,35
20.051,11670,21639,35,35
20.0609,11686,21604,35,35
20.241,13201,17199,34,34
20.251,13204,17214,34,34
20.261,13226,17195,34,34
20.4509,14921,8914,33,33
20.461,14949,8905,33,33
20.6409,15460,4989,32,32
20.6509,15439,4965,32,32
20.6609,15453,4964,32,32
20.8408,15733,543,31,31
20.851,15721,572,31,31
20.861,15719,563,31,31
21.0508,15507,-8166,30,30
21.0609,15524,-8174,30,30
21.231,15015,-12905,29,29
21.241,15024,-12869,29,29
21.251,15023,-12848,29,29
21.431,14444,-16091,28,28
21.4408,14439,-16074,28,28
21.451,14445,-16053,28,28
21.6408,13426,-20050,27,27
21.651,13439,-20025,27,27
21.831,10737,-25967,26,26
21.8409,10764,-25929,26,26
21.851,10732,-25975,26,26
22.0408,8953,-28653,25,25
22.0508,8969,-28640,25,25
22.231,7449,-29965,24,24
22.241,7451,-29971,24,24
22.251,7461,-29954,24,24
22.4308,4007,-32198,23,23
22.4409,3987,-32217,23,23
22.4509,3988,-32216,23,23
22.6408,1764,-32272,22,22
22.651,1766,-32272,22,22
22.8409,-1738,-31787,21,21
22.851,-1751,-31777,21,21
23.0353,-3459,-30542,20,20
23.0539,-3488,-30532,20,20
23.2409,-5291,-29196,19,19
23.2509,-5291,-29189,19,19
23.4407,-9049,-24280,18,18
23.4507,-9055,-24277,18,18
23.631,-10854,-21204,17,17
23.6408,-10868,-21199,17,17
23.6509,-10858,-21166,17,17
23.8408,-12183,-17916,16,16
23.8509,-12183,-17899,16,16
24.031,-14577,-10005,15,15
24.0408,-14566,-10012,15,15
24.0508,-14577,-10005,15,15
24.2407,-15351,-5425,14,14
24.2509,-15359,-5395,14,14
24.431,-15980,-945,13,13
24.441,-15973,-942,13,13
24.4509,-15970,-914,13,13
24.631,-16267,3167,12,12
24.6409,-16250,3150,12,12
24.6508,-16235,3175,12,12
24.831,-16184,11806,11,11
24.8408,-16175,11716,11,11
