time,loopdelay,magangle,magtemp,magx,magy,magz,step_count,step_mod6
0.241043,150,52,36,4479,16886,0,22,22
0.242628,150,52,36,4479,16886,0,22,22
0.244185,150,52,36,4492,16872,0,22,22
0.245822,150,52,36,4505,16858,0,22,22
0.247423,150,52,36,4496,16889,0,22,22
0.248949,150,52,36,4496,16889,0,22,22
0.250478,150,52,36,4484,16869,0,22,22
0.251945,150,52,36,4484,16875,0,22,22
0.253492,150,52,36,4492,16875,0,22,22
0.254944,150,52,36,4492,16888,0,22,22
0.256443,150,52,36,4484,16888,0,22,22
0.257933,150,52,36,4508,16867,0,22,22
0.259357,150,52,36,4508,16867,0,22,22
0.260785,150,52,36,4494,16878,0,22,22
0.262355,150,52,36,4495,16887,0,22,22
0.263873,150,52,36,4495,16869,0,22,22
0.388595,150,55,36,3607,17284,0,23,23
0.390165,150,54,36,3616,17281,0,23,23
0.391747,150,54,36,3616,17281,0,23,23
0.393379,150,54,36,3613,17278,0,23,23
0.394916,150,54,36,3624,17284,0,23,23
0.396532,150,54,36,3624,17284,0,23,23
0.39816,150,54,36,3614,17291,0,23,23
0.399703,150,55,36,3621,17284,0,23,23
0.401247,150,54,36,3621,17284,0,23,23
0.403155,150,54,36,3613,17275,0,23,23
0.404742,150,54,36,3611,17282,0,23,23
0.406281,150,55,36,3611,17282,0,23,23
0.407968,150,54,36,3619,17281,0,23,23
0.40963,150,54,36,3619,17276,0,23,23
0.411266,150,54,36,3607,17276,0,23,23
0.41285,150,54,36,3626,17287,0,23,23
0.539897,150,57,36,2665,17806,0,24,24
0.54149,150,57,36,2665,17806,0,24,24
0.543071,150,57,36,2684,17790,0,24,24
0.544722,150,57,36,2688,17775,0,24,24
0.54631,150,57,36,2688,17775,0,24,24
0.547953,150,57,36,2676,17805,0,24,24
0.549563,150,57,36,2660,17804,0,24,24
0.551131,150,57,36,2660,17804,0,24,24
0.552641,150,57,36,2669,17795,0,24,24
0.554269,150,57,36,2678,17800,0,24,24
0.555867,150,57,36,2678,17800,0,24,24
0.557493,150,57,36,2694,17811,0,24,24
0.559063,150,57,36,2694,17804,0,24,24
0.560652,150,57,36,2690,17804,0,24,24
0.562268,150,57,36,2680,17804,0,24,24
0.563842,150,57,36,2680,17804,0,24,24
0.688941,150,63,36,-266,17145,0,25,25
0.690527,150,63,36,-266,17145,0,25,25
0.692154,150,63,36,-223,17139,0,25,25
0.69368,150,63,36,-189,17157,0,25,25
0.695286,150,63,36,-189,17157,0,25,25
0.696944,150,63,36,-188,17175,0,25,25
0.698491,150,63,36,-188,17143,0,25,25
0.700031,150,63,36,-215,17143,0,25,25
0.701546,150,63,36,-215,17133,0,25,25
0.703258,150,63,36,-240,17133,0,25,25
0.704847,150,63,36,-244,17149,0,25,25
0.706496,150,63,36,-225,17147,0,25,25
0.708047,150,63,36,-225,17147,0,25,25
0.709632,150,63,36,-203,17152,0,25,25
0.711162,150,63,36,-212,17167,0,25,25
0.712738,150,63,36,-212,17167,0,25,25
0.838511,150,66,36,-1273,16554,0,26,26
0.84015,150,66,36,-1268,16567,0,26,26
0.84169,150,66,36,-1279,16549,0,26,26
0.843258,150,66,36,-1279,16541,0,26,26
0.844856,150,66,35,-1279,16541,0,26,26
0.846417,150,66,36,-1277,16546,0,26,26
0.848054,150,66,36,-1277,16545,0,26,26
0.849635,150,66,36,-1272,16545,0,26,26
0.851128,150,66,36,-1278,16555,0,26,26
0.852803,150,66,36,-1278,16555,0,26,26
0.854384,150,66,36,-1272,16544,0,26,26
0.855973,150,66,36,-1272,16557,0,26,26
0.857618,150,66,36,-1289,16557,0,26,26
0.85918,150,66,36,-1273,16560,0,26,26
0.860749,150,66,36,-1284,16559,0,26,26
0.862385,150,66,36,-1284,16559,0,26,26
0.988614,150,70,36,-2684,14846,0,27,27
0.990279,150,70,36,-2678,14846,0,27,27
0.991803,150,70,36,-2671,14861,0,27,27
0.993413,150,70,36,-2671,14861,0,27,27
0.995063,150,70,36,-2663,14878,0,27,27
0.996645,150,70,36,-2665,14878,0,27,27
0.99826,150,70,36,-2659,14889,0,27,27
0.999779,150,70,36,-2659,14889,0,27,27
1.00134,150,70,36,-2690,14868,0,27,27
1.0028,150,70,36,-2683,14860,0,27,27
1.0044,150,70,36,-2683,14860,0,27,27
1.00604,150,70,36,-2674,14866,0,27,27
1.0076,150,70,36,-2674,14882,0,27,27
1.00916,150,70,36,-2668,14882,0,27,27
1.01074,150,70,36,-2662,14880,0,27,27
1.1379,150,76,36,-4242,12603,0,28,28
1.13959,150,76,36,-4268,12551,0,28,28
1.14127,150,76,37,-4274,12549,0,28,28
1.143,150,76,37,-4274,12589,0,28,28
1.14464,150,76,36,-4256,12589,0,28,28
1.14638,150,76,36,-4242,12607,0,28,28
1.14807,150,76,36,-4242,12609,0,28,28
1.14975,150,76,36,-4237,12609,0,28,28
1.15148,150,76,36,-4239,12579,0,28,28
1.15302,150,76,36,-4263,12565,0,28,28
1.15476,150,76,36,-4263,12565,0,28,28
1.15651,150,76,36,-4268,12556,0,28,28
1.15827,150,76,36,-4245,12595,0,28,28
1.16001,150,76,36,-4245,12593,0,28,28
1.16176,150,76,36,-4246,12593,0,28,28
1.28773,150,82,36,-5220,9946,0,29,29
1.28937,150,82,36,-5220,9946,0,29,29
1.29093,150,82,36,-5227,9958,0,29,29
1.29252,150,82,36,-5227,9948,0,29,29
1.29417,150,82,36,-5223,9948,0,29,29
1.29581,150,82,36,-5217,9955,0,29,29
1.2974,150,82,36,-5217,9957,0,29,29
1.29903,150,82,36,-5205,9957,0,29,29
1.3006,150,82,36,-5219,9956,0,29,29
1.30204,150,82,36,-5221,9950,0,29,29
1.30356,150,82,36,-5221,9950,0,29,29
1.30515,150,82,36,-5218,9938,0,29,29
1.30676,150,82,36,-5217,9947,0,29,29
1.30836,150,82,36,-5217,9947,0,29,29
1.30982,150,82,36,-5210,9951,0,29,29
1.31134,150,82,36,-5210,9957,0,29,29
1.43681,150,86,36,-5637,8702,0,30,30
1.43837,150,86,36,-5640,8705,0,30,30
1.43998,150,86,36,-5640,8684,0,30,30
1.44157,150,86,36,-5639,8684,0,30,30
1.44314,150,86,36,-5645,8696,0,30,30
1.4447,150,86,36,-5650,8687,0,30,30
1.44638,150,86,36,-5650,8687,0,30,30
1.44804,150,86,36,-5651,8699,0,30,30
1.44965,150,86,36,-5640,8700,0,30,30
1.45123,150,86,36,-5640,8700,0,30,30
1.45289,150,86,36,-5643,8697,0,30,30
1.45447,150,86,36,-5645,8693,0,30,30
1.45603,150,86,36,-5636,8711,0,30,30
1.45761,150,86,36,-5636,8711,0,30,30
1.45925,150,86,36,-5638,8714,0,30,30
1.58565,150,100,36,-6360,4694,0,31,31
1.58725,150,100,36,-6354,4733,0,31,31
1.5888,150,100,36,-6354,4733,0,31,31
1.59037,150,101,36,-6355,4666,0,31,31
1.59193,150,101,36,-6358,4650,0,31,31
1.5935,150,101,36,-6358,4620,0,31,31
1.59505,150,101,36,-6358,4620,0,31,31
1.59658,150,101,36,-6360,4648,0,31,31
1.59813,150,101,36,-6360,4648,0,31,31
1.59965,150,101,36,-6364,4669,0,31,31
1.60123,150,101,36,-6364,4669,0,31,31
1.60273,150,100,36,-6348,4702,0,31,31
1.60427,150,101,36,-6359,4668,0,31,31
1.60585,150,101,36,-6359,4668,0,31,31
1.6075,150,101,36,-6368,4644,0,31,31
1.60906,150,101,36,-6364,4644,0,31,31
1.73638,150,109,36,-6493,2946,0,32,32
1.73799,150,109,36,-6493,2946,0,32,32
1.7396,150,109,36,-6487,2932,0,32,32
1.74116,150,109,36,-6498,2948,0,32,32
1.74275,150,109,37,-6498,2948,0,32,32
1.74437,150,109,36,-6509,2981,0,32,32
1.74594,150,109,36,-6509,2988,0,32,32
1.74758,150,109,36,-6487,2988,0,32,32
1.74914,150,109,36,-6498,2968,0,32,32
1.7507,150,109,36,-6498,2968,0,32,32
1.75212,150,109,36,-6482,2954,0,32,32
1.75371,150,109,36,-6491,2945,0,32,32
1.75536,150,109,36,-6491,2945,0,32,32
1.75697,150,109,36,-6503,2962,0,32,32
1.75857,150,109,36,-6498,2961,0,32,32
1.76015,150,109,36,-6498,2961,0,32,32
1.88447,150,133,36,-6605,-1172,0,33,33
1.88592,150,133,37,-6607,-1176,0,33,33
1.88748,150,133,37,-6607,-1176,0,33,33
1.88903,150,133,36,-6615,-1160,0,33,33
1.89069,150,133,36,-6614,-1143,0,33,33
1.89226,150,133,36,-6614,-1143,0,33,33
1.89385,150,133,36,-6614,-1144,0,33,33
1.8955,150,133,36,-6614,-1156,0,33,33
1.89704,150,133,36,-6614,-1156,0,33,33
1.89862,150,133,36,-6613,-1167,0,33,33
1.90025,150,133,36,-6613,-1167,0,33,33
1.90172,150,133,36,-6621,-1181,0,33,33
1.90324,150,133,36,-6615,-1154,0,33,33
1.9048,150,133,36,-6615,-1154,0,33,33
1.90636,150,133,36,-6618,-1152,0,33,33
1.90795,150,133,36,-6611,-1156,0,33,33
2.03474,150,144,37,-6497,-3109,0,34,34
2.03649,150,144,36,-6513,-3108,0,34,34
2.03814,150,144,36,-6503,-3113,0,34,34
2.03972,150,144,36,-6503,-3113,0,34,34
2.04135,150,144,37,-6504,-3093,0,34,34
2.0429,150,144,37,-6504,-3100,0,34,34
2.04448,150,144,36,-6509,-3100,0,34,34
2.04613,150,144,36,-6505,-3083,0,34,34
2.04772,150,144,36,-6505,-3083,0,34,34
2.04934,150,144,36,-6497,-3098,0,34,34
2.05086,150,144,36,-6495,-3106,0,34,34
2.05253,150,144,37,-6500,-3112,0,34,34
2.05415,150,144,37,-6500,-3112,0,34,34
2.05574,150,144,36,-6500,-3093,0,34,34
2.05738,150,144,37,-6511,-3081,0,34,34
2.05906,150,144,37,-6511,-3081,0,34,34
2.18236,150,151,37,-6328,-4530,0,35,35
2.18389,150,151,36,-6328,-4530,0,35,35
2.18544,150,151,36,-6320,-4503,0,35,35
2.18703,150,151,36,-6320,-4503,0,35,35
2.18872,150,151,37,-6334,-4514,0,35,35
2.19049,150,151,37,-6326,-4536,0,35,35
2.19213,150,151,36,-6326,-4536,0,35,35
2.19384,150,151,36,-6331,-4523,0,35,35
2.19559,150,151,37,-6324,-4533,0,35,35
