time,loopdelay,magangle,magtemp,magx,magy,magz,step_count
0.00221525,150,76,44,-4213,12530,0,4
0.00403804,150,76,44,-4230,12481,0,4
0.00590308,150,76,44,-4237,12470,0,4
0.00776933,150,76,44,-4237,12470,0,4
0.00953075,150,76,44,-4225,12486,0,4
0.011232,150,76,44,-4202,12513,0,4
0.0128575,150,76,44,-4202,12534,0,4
0.0144482,150,76,44,-4202,12534,0,4
0.0159843,150,76,44,-4213,12525,0,4
0.0174923,150,76,44,-4213,12505,0,4
0.0190713,150,76,44,-4215,12505,0,4
0.0206301,150,76,44,-4231,12487,0,4
0.022186,150,76,44,-4231,12487,0,4
0.0237395,150,76,44,-4221,12503,0,4
0.0252421,150,76,44,-4215,12517,0,4
0.0266168,150,76,44,-4215,12517,0,4
0.0280506,150,76,44,-4205,12518,0,4
0.0294286,150,76,44,-4205,12525,0,4
0.0308472,150,76,44,-4211,12525,0,4
0.0322277,150,76,44,-4211,12525,0,5
0.0336097,150,76,44,-4225,12512,0,5
0.0354688,150,76,44,-4242,12423,0,5
0.0368642,150,76,44,-4242,12423,0,5
0.038257,150,78,44,-4554,11691,0,5
0.0396596,150,78,44,-5036,10329,0,5
0.0410758,150,81,44,-5036,10329,0,5
0.0426201,150,85,44,-5444,9045,0,5
0.0440795,150,85,44,-5444,9045,0,5
0.045481,150,86,44,-5580,8623,0,5
0.0469815,150,84,44,-5395,9157,0,5
0.0484245,150,84,44,-5395,9157,0,5
0.0498573,150,81,44,-5052,10209,0,5
0.0512743,150,81,44,-5052,10209,0,5
0.0527388,150,79,44,-4747,11213,0,5
0.0542552,150,78,44,-4593,11637,0,5
0.055896,150,78,44,-4593,11637,0,5
0.057547,150,79,44,-4728,11266,0,5
0.059207,150,81,44,-4988,10482,0,5
0.0608897,150,81,44,-4988,10482,0,5
0.062555,150,83,44,-5248,9662,0,5
0.0642158,150,84,44,-5417,9119,0,5
0.0658463,150,84,44,-5417,9119,0,5
0.0673772,150,84,44,-5394,9142,0,5
0.0691232,150,83,44,-5233,9610,0,5
0.0707623,150,83,43,-5047,10251,0,5
0.0724213,150,81,43,-5047,10251,0,5
0.0740253,150,80,44,-4914,10713,0,5
0.0756825,150,80,44,-4837,10970,0,5
0.0773472,150,80,44,-4837,10970,0,5
0.0789893,150,80,44,-4847,10924,0,5
0.0806512,150,80,44,-4926,10654,0,5
0.0821934,150,80,44,-4926,10291,0,5
0.0837743,150,81,44,-5037,10291,0,5
0.0853119,150,81,44,-5037,9909,0,5
0.0868985,150,82,44,-5160,9909,0,5
0.088549,150,83,44,-5252,9627,0,5
0.090162,150,83,44,-5252,9533,0,5
0.0915157,150,83,44,-5281,9533,0,5
0.0928454,150,83,44,-5233,9645,0,5
0.0941218,150,83,44,-5233,9645,0,5
0.0954028,150,83,44,-5161,9916,0,5
0.0967362,150,82,44,-5161,9916,0,5
0.0980276,150,82,44,-5094,10117,0,5
0.0994114,150,82,44,-5071,10205,0,5
0.100768,150,81,44,-5071,10205,0,5
0.102046,150,81,44,-5071,10176,0,5
0.103377,150,81,44,-5074,10176,0,5
0.104692,150,82,44,-5110,10046,0,5
0.106033,150,82,44,-5110,10046,0,5
0.107368,150,82,44,-5167,9912,0,5
0.108676,150,82,44,-5167,9912,0,5
0.110014,150,82,44,-5194,9809,0,5
0.111322,150,82,44,-5192,9817,0,5
0.112608,150,82,44,-5192,9817,0,5
0.113963,150,82,44,-5192,9890,0,5
0.11535,150,82,44,-5179,9890,0,5
0.116699,150,82,44,-5149,9966,0,5
0.118038,150,82,44,-5149,9966,0,5
0.119346,150,82,44,-5131,9992,0,5
0.120728,150,82,44,-5131,9992,0,5
0.122148,150,82,44,-5135,9987,0,5
0.123482,150,82,44,-5135,9987,0,5
0.124644,150,82,44,-5156,9933,0,5
0.125827,150,82,44,-5156,9933,0,5
0.126993,150,82,44,-5177,9896,0,5
0.128139,150,82,44,-5178,9882,0,5
0.129305,150,82,44,-5178,9882,0,5
0.130471,150,82,44,-5178,9882,0,5
0.131846,150,82,44,-5158,9917,0,5
0.133212,150,82,44,-5146,9952,0,5
0.1345,150,82,44,-5146,9952,0,5
0.135959,150,82,44,-5146,9964,0,5
0.137357,150,82,44,-5146,9964,0,5
0.138748,150,82,44,-5148,9943,0,5
0.14019,150,82,44,-5158,9913,0,5
0.141637,150,82,44,-5158,9913,0,5
0.14305,150,82,44,-5158,9904,0,5
0.144424,150,82,44,-5168,9904,0,5
0.145848,150,82,44,-5166,9900,0,5
0.147232,150,82,44,-5166,9900,0,5
0.148596,150,82,44,-5156,9924,0,5
0.149977,150,82,44,-5156,9939,0,5
0.151348,150,82,44,-5157,9939,0,5
0.152728,150,82,44,-5157,9939,0,5
0.154159,150,82,44,-5145,9948,0,5
0.155549,150,82,44,-5159,9934,0,5
0.15696,150,82,44,-5159,9935,0,5
0.158381,150,82,44,-5160,9935,0,5
0.159778,150,82,44,-5160,9935,0,5
0.161232,150,82,44,-5158,9909,0,5
0.162654,150,82,44,-5165,9942,0,5
0.164032,150,82,44,-5165,9942,0,5
0.165431,150,82,44,-5158,9941,0,5
0.166861,150,82,44,-5158,9941,0,5
0.168121,150,82,44,-5149,9941,0,5
0.169563,150,82,43,-5157,9942,0,5
0.170961,150,82,43,-5157,9942,0,5
0.172348,150,82,44,-5169,9934,0,5
0.173738,150,82,44,-5169,9934,0,5
0.175157,150,82,44,-5158,9929,0,5
0.176565,150,82,44,-5158,9929,0,5
0.177974,150,82,44,-5148,9926,0,5
0.179549,150,82,44,-5160,9946,0,5
0.181126,150,82,44,-5160,9946,0,6
0.182718,150,82,44,-5156,9928,0,6
0.184249,150,82,44,-5155,9881,0,6
0.185735,150,82,44,-5155,9247,0,6
0.187267,150,84,44,-5358,9247,0,6
0.188867,150,84,44,-5358,8143,0,6
0.190545,150,87,44,-5711,8143,0,6
0.192122,150,91,44,-5942,6909,0,6
0.193764,150,91,44,-5942,5628,0,6
0.195322,150,96,44,-6168,5628,0,6
0.1969,150,98,44,-6247,5138,0,6
0.198524,150,96,44,-6160,5638,0,6
0.200073,150,96,44,-6160,5638,0,6
0.201594,150,92,44,-5994,6637,0,6
0.203154,150,92,44,-5855,7416,0,6
0.204744,150,90,44,-5855,7416,0,6
0.206313,150,90,44,-5725,8057,0,6
0.207896,150,88,44,-5725,8613,0,6
0.209532,150,86,44,-5556,8613,0,6
0.211108,150,86,44,-5430,8988,0,6
0.21277,150,85,44,-5430,8893,0,6
0.214359,150,85,44,-5467,8893,0,6
0.215954,150,86,44,-5601,8493,0,6
0.217477,150,86,44,-5601,8493,0,6
0.219053,150,87,44,-5701,8146,0,6
0.22059,150,88,44,-5757,7927,0,6
0.222112,150,88,44,-5757,7927,0,6
0.22362,150,88,44,-5764,7893,0,6
0.225169,150,88,44,-5732,8016,0,6
0.226736,150,88,44,-5732,8255,0,6
0.22829,150,87,44,-5670,8255,0,6
0.229904,150,87,44,-5584,8554,0,6
0.231522,150,86,44,-5584,8554,0,6
0.233071,150,85,44,-5507,8766,0,6
0.234593,150,85,44,-5507,8772,0,6
0.236194,150,85,44,-5503,8772,0,6
0.237777,150,86,44,-5572,8599,0,6
0.239331,150,86,44,-5572,8599,0,6
0.240966,150,87,44,-5623,8388,0,6
0.242541,150,87,44,-5648,8338,0,6
0.244106,150,87,44,-5625,8411,0,6
