time [s],magx,magy,magz,step_count,
0.0102079,-16396,2976,nan,24,
0.0109569,-16345,2976,nan,24,
0.0208023,-16336,3086,nan,24,
0.03067,-16304,2322,nan,24,
0.0408862,-16327,2817,nan,24,
0.0507589,-16329,2698,nan,24,
0.0606583,-16330,2584,nan,24,
0.0708929,-16326,2652,nan,24,
0.0807615,-16300,2680,nan,24,
0.090677,-16333,2675,nan,24,
0.100763,-16324,2659,nan,24,
0.110743,-16326,2667,nan,24,
0.120894,-16326,2661,nan,24,
0.13074,-16327,2669,nan,24,
0.140827,-16317,2665,nan,24,
0.150792,-16323,2673,nan,24,
0.160679,-16308,2662,nan,24,
0.170827,-16323,2664,nan,24,
0.180718,-16313,2673,nan,25,
0.190791,-15678,-3671,nan,25,
0.200755,-16129,-54,nan,25,
0.210695,-15981,-1643,nan,25,
0.220921,-16032,-962,nan,25,
0.23074,-16028,-1346,nan,25,
0.240814,-16029,-1131,nan,25,
0.250799,-16024,-1247,nan,25,
0.260647,-16020,-1215,nan,25,
0.27064,-16017,-1213,nan,25,
0.280685,-15999,-1219,nan,25,
0.290887,-16013,-1212,nan,25,
0.300794,-16023,-1213,nan,25,
0.310681,-16005,-1211,nan,25,
0.320862,-16012,-1211,nan,25,
0.330819,-16019,-1210,nan,25,
0.340922,-16020,-1213,nan,25,
0.350811,-16011,-1204,nan,25,
0.360706,-16016,-1213,nan,25,
0.370857,-15998,-1207,nan,25,
0.380653,-16019,-1230,nan,26,
0.390893,-14850,-8914,nan,26,
0.400783,-15777,-3642,nan,26,
0.410667,-15167,-6723,nan,26,
0.420806,-15465,-4832,nan,26,
0.430702,-15340,-5716,nan,26,
0.440889,-15385,-5268,nan,26,
0.450751,-15380,-5526,nan,26,
0.460664,-15388,-5407,nan,26,
0.470915,-15357,-5437,nan,26,
0.480774,-15380,-5462,nan,26,
0.490768,-15387,-5435,nan,26,
0.500831,-15389,-5449,nan,26,
0.510732,-15393,-5461,nan,26,
0.520802,-15379,-5449,nan,26,
0.530693,-15398,-5443,nan,26,
0.540825,-15402,-5443,nan,26,
0.550761,-15379,-5452,nan,26,
0.560665,-15385,-5448,nan,26,
0.57091,-15391,-5428,nan,26,
0.580737,-15387,-5453,nan,27,
0.590894,-13805,-15172,nan,27,
0.600797,-13778,-13584,nan,27,
0.610711,-13789,-13430,nan,27,
0.620674,-13290,-14966,nan,27,
0.630668,-13414,-14578,nan,27,
0.640775,-13436,-14543,nan,27,
0.650739,-13379,-14712,nan,27,
0.660717,-13425,-14562,nan,27,
0.670839,-13396,-14581,nan,27,
0.680674,-13396,-14662,nan,27,
0.690802,-13394,-14619,nan,27,
0.700731,-13398,-14597,nan,27,
0.710686,-13410,-14640,nan,27,
0.720711,-13396,-14623,nan,27,
0.730847,-13408,-14622,nan,27,
0.74077,-13409,-14629,nan,27,
0.75076,-13413,-14628,nan,27,
0.760729,-13402,-14620,nan,27,
0.770806,-13402,-14630,nan,27,
0.780801,-13392,-14625,nan,28,
