time [s],magangle,magx,magy,step_count,
0.0152027,346.904,10848,-26158,2,
0.0160393,346.904,10844,-26194,2,
0.0208405,346.449,10822,-26240,2,
0.0308318,346.449,10830,-26195,2,
0.0408065,346.904,10868,-26188,2,
0.0508112,346.449,10832,-26221,2,
0.0608443,346.449,10847,-26204,2,
0.070829,346.449,10830,-26192,2,
0.0808307,346.449,10862,-26200,2,
0.0908205,346.449,10834,-26198,2,
0.100818,346.449,10834,-26196,2,
0.110823,346.449,10827,-26204,3,
0.120808,356.393,13215,-21088,3,
0.130821,357.392,13438,-20606,3,
0.140814,350.4,12018,-24200,3,
0.150822,353.729,12766,-22597,3,
0.160842,352.731,12570,-23040,3,
0.170814,351.731,12296,-23661,3,
0.180826,352.064,12360,-23545,3,
0.190823,351.731,12337,-23605,3,
0.200822,352.064,12314,-23619,3,
0.210838,352.064,12333,-23560,3,
0.220827,351.731,12329,-23582,3,
0.230816,352.064,12352,-23576,3,
0.240815,352.064,12348,-23562,3,
0.250832,351.731,12337,-23580,3,
0.260828,352.064,12354,-23569,3,
0.270827,352.064,12351,-23570,3,
0.280826,352.064,12360,-23586,3,
0.290812,352.064,12323,-23528,3,
0.300811,352.064,12345,-23577,3,
0.310843,351.731,12325,-23576,4,
0.32082,13.9475,14728,-11766,4,
0.330824,357.724,13504,-20379,4,
0.340839,17.4998,15059,-13256,4,
0.350818,0.723073,13834,-19208,4,
0.360844,15.3289,14918,-14365,4,
0.370823,7.22901,14175,-17911,4,
0.380832,13.7498,14782,-15170,4,
0.390825,10.5923,14425,-16925,4,
0.400822,12.3684,14631,-15875,4,
0.410846,11.5789,14549,-16402,4,
0.420821,11.9737,14579,-16184,4,
0.430817,11.9737,14582,-16225,4,
0.440816,11.7766,14566,-16288,4,
0.45083,11.9737,14565,-16236,4,
0.460841,11.7766,14571,-16222,4,
0.470851,11.7766,14566,-16248,4,
0.480808,11.7766,14564,-16251,4,
0.490834,11.7766,14572,-16239,4,
0.500877,11.7766,14580,-16245,4,
0.51084,11.7766,14575,-16239,5,
0.520818,23.0805,15587,-9299,5,
0.530822,14.3423,14862,-14898,5,
0.540819,21.2052,15446,-10861,5,
0.550828,15.7237,14958,-14184,5,
0.560827,20.2678,15344,-11738,5,
0.570819,17.1051,15095,-13305,5,
0.58083,18.6842,15204,-12678,5,
0.590816,18.2894,15168,-12908,5,
0.600838,18.2894,15161,-12906,5,
0.610837,18.2894,15182,-12812,5,
0.620844,18.2894,15166,-12913,5,
0.630824,18.2894,15181,-12889,5,
0.640818,18.2894,15159,-12880,5,
0.650848,18.2894,15183,-12863,5,
0.660895,18.2894,15177,-12885,5,
0.670816,18.2894,15182,-12880,5,
0.680822,18.2894,15183,-12872,5,
0.690816,18.2894,15172,-12872,5,
0.700836,18.2894,15155,-12863,5,
0.710828,18.2894,15186,-12844,6,
0.720829,30.8572,15843,-2527,6,
0.730843,26.5623,15805,-6216,6,
0.740818,23.4821,15618,-8918,6,
0.750829,27.3662,15847,-5479,6,
0.760858,26.6964,15801,-6460,6,
0.770795,24.9552,15705,-7686,6,
0.780826,24.0178,15656,-8445,6,
0.790822,24.4195,15689,-8097,6,
0.800814,24.4195,15680,-8154,6,
0.810862,24.286,15675,-8222,6,
0.820832,24.4195,15665,-8182,6,
0.830815,24.4195,15668,-8165,6,
0.84084,24.4195,15680,-8190,6,
0.85084,24.4195,15681,-8180,6,
0.860851,24.4195,15656,-8191,6,
0.870826,24.4195,15668,-8188,6,
0.880833,24.4195,15668,-8174,6,
0.890844,24.4195,15661,-8183,6,
0.900831,24.4195,15656,-8181,6,
0.910834,24.4195,15687,-8151,7,
0.920811,42.9615,15546,5309,7,
0.930831,29.2409,15958,-3779,7,
0.940818,41.1498,15783,3014,7,
