time [s],magangle,magx,magy,step_count,Unnamed: 5,step_mod6
0.240815,352.064,12348,-23562,3,,3
0.250832,351.731,12337,-23580,3,,3
0.440816,11.7766,14566,-16288,4,,4
0.45083,11.9737,14565,-16236,4,,4
0.640818,18.2894,15159,-12880,5,,5
0.650848,18.2894,15183,-12863,5,,5
0.84084,24.4195,15680,-8190,6,,6
0.85084,24.4195,15681,-8180,6,,6
1.03114,36.2144,15884,613,7,,7
1.04107,36.2144,15878,541,7,,7
1.0512,36.2144,15885,504,7,,7
1.24106,42.6831,15623,5055,8,,8
1.25108,42.6831,15619,5065,8,,8
1.43116,47.5612,15109,9046,9,,9
1.44117,47.5612,15091,9035,9,,9
1.45115,47.5612,15077,9002,9,,9
1.64112,69.254,13327,17426,10,,10
1.65117,69.0403,13350,17357,10,,10
1.83115,77.2221,11270,21314,11,,11
1.84118,77.2221,11285,21275,11,,11
1.85102,77.2221,11283,21291,11,,11
2.03097,100.107,8169,27704,12,,12
2.04119,100.107,8166,27700,12,,12
2.05109,100.107,8145,27739,12,,12
2.23102,105.889,6546,29777,13,,13
2.2411,105.889,6543,29764,13,,13
2.25117,105.889,6544,29734,13,,13
2.43092,113.913,4462,32608,14,,14
2.44118,113.913,4450,32608,14,,14
2.45122,113.913,4457,32608,14,,14
2.63117,136.25,296,32608,15,,15
2.64107,137.5,227,32608,15,,15
2.65116,137.5,236,32608,15,,15
2.84119,143.104,-2003,32608,16,,16
2.85119,143.104,-1986,32608,16,,16
3.04117,148.276,-4120,32608,17,,17
3.05093,148.276,-4126,32608,17,,17
3.23101,155.143,-6610,32608,18,,18
3.2412,155.143,-6593,32608,18,,18
3.2512,155.143,-6597,32608,18,,18
3.43109,164.727,-10623,30354,19,,19
3.44116,164.727,-10627,30350,19,,19
3.63103,169.091,-12259,27780,20,,20
3.64108,169.091,-12258,27787,20,,20
3.82112,185.081,-14611,21155,21,,21
3.83113,185.081,-14602,21183,21,,21
3.8412,185.081,-14609,21150,21,,21
4.02108,190.918,-15436,16917,22,,22
4.03111,190.918,-15449,16935,22,,22
4.04113,190.918,-15430,16995,22,,22
4.22123,196.367,-16106,11791,23,,23
4.23114,196.367,-16098,11744,23,,23
4.24102,196.367,-16082,11725,23,,23
4.42108,206.911,-16210,3301,24,,24
4.43105,207.104,-16196,3223,24,,24
4.44112,207.104,-16191,3213,24,,24
4.62121,220.448,-15871,-891,25,,25
4.63099,220.317,-15873,-839,25,,25
4.64112,220.317,-15884,-838,25,,25
4.82123,225.462,-15260,-5400,26,,26
4.83108,225.33,-15284,-5338,26,,26
4.84114,225.33,-15289,-5315,26,,26
5.02123,238.683,-13528,-13911,27,,27
5.03118,238.683,-13562,-13893,27,,27
5.0412,238.505,-13575,-13835,27,,27
5.23089,252.806,-12290,-17587,28,,28
5.24119,253.165,-12250,-17644,28,,28
5.42107,261.0,-10945,-20976,29,,29
5.43109,260.667,-10960,-20915,29,,29
5.44108,261.0,-10953,-20934,29,,29
5.63112,266.667,-9212,-23991,30,,30
5.64111,267.0,-9203,-24022,30,,30
5.82104,281.143,-5555,-28971,31,,31
5.83097,281.143,-5636,-28870,31,,31
5.84111,281.143,-5562,-28955,31,,31
6.02118,285.715,-3774,-30191,32,,32
6.03113,285.715,-3791,-30167,32,,32
6.04117,286.286,-3768,-30195,32,,32
6.2212,300.435,-1086,-31840,33,,33
6.23098,300.435,-1092,-31852,33,,33
6.24108,300.435,-1074,-31845,33,,33
6.42115,310.0,1548,-32045,34,,34
6.43091,309.13,1374,-32052,34,,34
6.4411,309.13,1423,-32042,34,,34
6.62114,315.0,3640,-31814,35,,35
6.63097,315.0,3600,-31839,35,,35
6.64122,315.0,3615,-31836,35,,35
6.83104,327.273,7105,-29629,36,,0
6.84097,327.273,7126,-29612,36,,0
7.0211,340.076,8584,-28339,37,,1
7.03093,340.076,8605,-28325,37,,1
7.22114,345.994,10426,-25682,38,,2
7.23107,346.449,10432,-25659,38,,2
7.42108,357.724,13113,-19869,39,,3
7.43092,357.724,13118,-19853,39,,3
7.62116,11.5789,14137,-15962,40,,4
7.63106,11.5789,14161,-15929,40,,4
7.82109,17.8946,14771,-12716,41,,5
7.83098,18.0923,14792,-12658,41,,5
8.01094,24.1519,15298,-8144,42,,6
8.02104,24.286,15309,-8085,42,,6
8.03106,24.286,15294,-8066,42,,6
8.2212,36.2144,15570,570,43,,7
8.23109,36.0001,15585,521,43,,7
8.42095,42.5438,15364,4822,44,,8
8.43093,42.5438,15351,4850,44,,8
8.62107,47.2822,14968,8756,45,,9
8.631,47.4214,14947,8816,45,,9
8.82121,68.4008,13362,16893,46,,10
8.83099,68.8271,13317,17099,46,,10
9.02121,76.1111,11844,21348,47,,11
9.03108,76.389,11839,21384,47,,11
9.22114,94.7621,8794,27837,48,,12
9.23113,94.7621,8757,27868,48,,12
9.42116,104.604,7102,30024,49,,13
9.4311,104.604,7144,29987,49,,13
9.621,112.174,4912,32557,50,,14
9.63106,112.174,4946,32530,50,,14
9.82115,135.0,670,32608,51,,15
9.83105,135.0,712,32608,51,,15
10.0211,142.529,-1592,32608,52,,16
10.0309,142.529,-1592,32608,52,,16
10.2211,147.126,-3687,32608,53,,17
10.231,147.126,-3662,32608,53,,17
10.401,153.428,-6008,32608,54,,18
10.4109,153.428,-6067,32608,54,,18
10.4211,153.428,-6054,32608,54,,18
10.6011,164.0,-10193,30351,55,,19
10.6109,164.727,-10412,30046,55,,19
10.6212,164.364,-10299,30189,55,,19
10.8011,168.727,-12013,27492,56,,20
10.811,169.091,-12073,27436,56,,20
10.8211,169.091,-12036,27440,56,,20
11.0109,180.598,-13364,24111,57,,21
11.0211,180.598,-13340,24192,57,,21
11.2009,190.8,-15269,16930,58,,22
11.2109,190.681,-15259,17045,58,,22
11.2211,190.918,-15292,16843,58,,22
11.411,196.367,-15943,11668,59,,23
11.4211,196.367,-15948,11663,59,,23
11.601,207.104,-16100,3263,60,,24
11.6109,207.104,-16088,3189,60,,24
11.6211,207.104,-16072,3160,60,,24
11.801,220.448,-15867,-889,61,,25
11.811,220.317,-15872,-843,61,,25
11.821,220.317,-15861,-809,61,,25
12.0011,225.33,-15242,-5281,62,,26
12.011,225.33,-15247,-5267,62,,26
12.0211,225.198,-15270,-5245,62,,26
12.211,238.328,-13556,-13735,63,,27
12.2211,238.149,-13577,-13666,63,,27
12.4011,252.446,-12292,-17452,64,,28
12.4108,252.446,-12318,-17366,64,,28
12.4211,252.446,-12326,-17385,64,,28
12.6076,260.333,-11048,-20721,65,,29
12.6119,260.333,-11034,-20750,65,,29
12.6151,260.667,-11011,-20771,65,,29
12.6209,260.333,-11030,-20712,65,,29
12.8011,266.667,-9281,-23840,66,,30
12.8109,266.333,-9307,-23793,66,,30
12.8211,266.333,-9309,-23789,66,,30
13.0011,280.572,-5601,-28673,67,,31
13.011,280.572,-5699,-28578,67,,31
13.0212,280.572,-5651,-28630,67,,31
13.2012,285.715,-3831,-30078,68,,32
13.2109,285.715,-3861,-30052,68,,32
13.2211,285.715,-3863,-30046,68,,32
13.411,303.044,-357,-31913,69,,33
13.4211,303.044,-346,-31911,69,,33
